row col alpha alphas.se$se
1 BOOF BOOF 0.351031049490602 0.0203539760301303
2 BRMA BOOF 1.50202289334496 0.0836531877017599
3 CAAR BOOF -0.00278316722149942 0.00139534566886224
4 CABU BOOF 0.736087375592844 0.0304264528915237
5 DIER BOOF 0.317659527769982 0.0385714593586041
6 MACA BOOF 0.93211319159379 0.0427434289649419
7 MEPO BOOF 0.493628789129078 0.0219721707494802
8 PARO BOOF 0.627857544102623 0.0356139487096115
9 SIAL BOOF 0.340644725436094 0.0208471145672243
10 VISA BOOF 0.139775846149432 0.0105002540059775
11 BOOF BRMA 0.717048250532988 0.0141106463642439
12 BRMA BRMA 2.40364783844442 0.0332442003382455
13 CAAR BRMA 0.0092665347712634 0.000776805816436559
14 CABU BRMA 1.02136948986518 0.0139545298726367
15 DIER BRMA 0.209775369101642 0.00938928231577315
16 MACA BRMA 1.43822654937327 0.0191951333761447
17 MEPO BRMA 0.796031537621198 0.0103271041918771
18 PARO BRMA 1.03913413670195 0.016175818718918
19 SIAL BRMA 1.27537874568974 0.0185176546586037
20 VISA BRMA 0.207876580409645 0.00261835259857587
21 BOOF CAAR 0.608024448113523 0.0128850795106826
22 BRMA CAAR 1.21647342240442 0.0137396976710989
23 CAAR CAAR 0.0226270120357975 0.000579826699586592
24 CABU CAAR 0.896330805715113 0.0168939420542965
25 DIER CAAR 0.113204527546827 0.00452991181538131
26 MACA CAAR 1.35129341444237 0.0216939375851767
27 MEPO CAAR 0.530077040528829 0.00650582286960584
28 PARO CAAR 0.720477678997832 0.00698147541219259
29 SIAL CAAR 1.36212931677522 0.0196741819536246
30 VISA CAAR 0.217587677174938 0.00226528308696848
31 BOOF CABU 0.199803383394417 0.00457156764122187
32 BRMA CABU 0.314025843344381 0.00628357501073508
33 CAAR CABU 0.0103249857432103 0.000522504295464776
34 CABU CABU 0.390982794829416 0.0134634614201946
35 DIER CABU -0.00485335216156776 0.000314638795354909
36 MACA CABU 0.551623365596601 0.013853395990263
37 MEPO CABU 0.147415377564413 0.00202902500144889
38 PARO CABU 0.165144309794164 0.00337869718248774
39 SIAL CABU 0.502451153415619 0.00853735226986101
40 VISA CABU 0.0811559701854223 0.00201659630082527
41 BOOF DIER 0.686895415807699 0.0137377584811839
42 BRMA DIER 1.29515115147975 0.0163784667142428
43 CAAR DIER 0.0320936668881927 0.00117079120511158
44 CABU DIER 1.02225922834889 0.0216277531923856
45 DIER DIER 0.121183367760668 0.00556520452758499
46 MACA DIER 1.51099106886342 0.0249767230560478
47 MEPO DIER 0.556813888186624 0.00641624237670986
48 PARO DIER 0.785107323732568 0.00744056657469127
49 SIAL DIER 1.55954630690337 0.0224542084527359
50 VISA DIER 0.254584441278919 0.00312710240744155
51 BOOF MACA 0.239149247469597 0.00490700257527836
52 BRMA MACA 0.263122360640409 0.00372630141587186
53 CAAR MACA 0.015234472981158 0.000500630030421283
54 CABU MACA 0.396841852377033 0.0138973243145026
55 DIER MACA 0.0256483496360188 0.00137979425285379
56 MACA MACA 0.591262885098922 0.013967435209229
57 MEPO MACA 0.16153703910354 0.0018878702084293
58 PARO MACA 0.226460028211904 0.00321429079444488
59 SIAL MACA 0.630979359569075 0.0101767288148701
60 VISA MACA 0.0988005827698312 0.00150191832609866
61 BOOF MEPO 0.893635769706064 0.0171034942976348
62 BRMA MEPO 0.157152450773479 0.00824028319244889
63 CAAR MEPO 0.0535781536571594 0.0012273680571102
64 CABU MEPO 0.76199459024202 0.0219179133192369
65 DIER MEPO 0.278682469401998 0.0113590833832395
66 MACA MEPO 1.42211848896789 0.0250786815584649
67 MEPO MEPO 0.483637974144686 0.00697226146033498
68 PARO MEPO 1.0003176385992 0.0158140142447795
69 SIAL MEPO 2.08389818693068 0.0338884669039042
70 VISA MEPO 0.374675346451504 0.00433577340265776
71 BOOF PARO 0.370881751561065 0.00774163689787415
72 BRMA PARO 1.84248311582548 0.027379467742008
73 CAAR PARO 0.00125769901991094 4.79420381393387e-05
74 CABU PARO 0.933322014692205 0.0211114192720579
75 DIER PARO 0.0126721864865121 0.00036257402273412
76 MACA PARO 1.18005415995698 0.0239797602714263
77 MEPO PARO 0.514967871508079 0.0056990352879414
78 PARO PARO 0.45850703365298 0.00519277971329397
79 SIAL PARO 0.746632698622469 0.0113884462581312
80 VISA PARO 0.104819044875014 0.0018057974960156
81 BOOF SIAL 0.358789327190084 0.00912232336499818
82 BRMA SIAL 0.97682078365366 0.0205617956186734
83 CAAR SIAL 0.0128129439021245 0.000524055780072523
84 CABU SIAL 0.724553744208579 0.0226015010955484
85 DIER SIAL 0.029365934081052 0.00236487253874603
86 MACA SIAL 1.00506849048175 0.0266375843250209
87 MEPO SIAL 0.354150596628123 0.0063388945048949
88 PARO SIAL 0.375787472735248 0.00730638321294378
89 SIAL SIAL 0.831438274921163 0.0165127878528877
90 VISA SIAL 0.128581701072497 0.00272006669363283
91 BOOF VISA 0.939342204474688 0.0201143328497906
92 BRMA VISA 1.58819298283627 0.0263226032368139
93 CAAR VISA 0.0383993589850323 0.000977755539492282
94 CABU VISA 1.05993180853728 0.0186429378610235
95 DIER VISA 0.287910852822656 0.0132430184001799
96 MACA VISA 1.6656489000567 0.0255099070042763
97 MEPO VISA 0.780427370569429 0.0105163271250135
98 PARO VISA 1.25314639826249 0.0250655409755721
99 SIAL VISA 2.06673929718812 0.0317454716669241
100 VISA VISA 0.345905049919997 0.00470923253020056
