"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 1.08941763375794 1.91642642178474 1.7782749206887 0.547668566347391 1.55807764986964 0.818664079749111 2.19529822612322 1.00073299517575 1.19219165108962 2.73011252206767
"BRMA" 1.24574921351636 2.19143387597376 1.73154145158686 0.565068943432516 1.18610396611653 0.273206743615243 0.144544315418412 1.61567846006702 1.94282553720011 1.48807422535798
"CAAR" -0.00537609919533381 -0.00945725332950015 0.0251225120731332 0.0181867768098633 0.0553435707431678 0.0423574457053964 0.0552772154078592 0.00279673690284381 -0.00658209512231009 0.0431256986845321
"CABU" 0.554121936471718 0.974772104873864 1.11891110542393 0.489354918118431 1.16967260192159 0.552575118980409 0.415340802939654 0.898271730582788 0.963158662408806 1.03495044139391
"DIER" 0.197924939676609 0.34817555010376 0.203161210752814 -0.00609485153927807 0.068762323631346 0.0479899472491279 0.616075053475546 0.0173042947517093 0.073522225236262 0.582578293971324
"MACA" 1.477243644857 2.59866250067199 2.51865978683045 0.916596645751215 2.28282948182909 1.04140003267385 1.65172822569544 1.84797275668093 2.10946339366338 2.90571397462326
"MEPO" 0.820422956580478 1.44323001786378 0.984096841831864 0.194057514643556 0.512955896221172 0.129611350404725 0.954432969439301 0.67451601233253 0.907166646389232 1.45912464674068
"PARO" 1.22194706650416 2.14956282302225 1.59762287016113 0.340933524683761 1.01729905655213 0.432328452640039 2.09688277168104 0.907617472891174 1.21352583609071 2.65927240149534
"SIAL" 1.29303122705017 2.27460904884003 3.44751930054838 1.54382816055725 4.31604697305731 2.66162341352632 4.21736678336905 1.7954985271962 1.70865890445722 4.8396064692844
"VISA" 0.122060555118685 0.214720292419223 0.186121087159712 0.0503260990112734 0.15098009002617 0.0796663669299581 0.262364956615854 0.0963649675907293 0.120298800675574 0.310674579796578
