V1 V2
BOOF 0.232598941074946 0.00589826888183375
BRMA 0.49116217513097 0.00648782316390155
CAAR 0.00824615409983879 0.000400486026560907
CABU 0.315686138191067 0.00338291668360407
DIER 0.0588359409746999 0.00279448631994785
MACA 0.4656387221515 0.00368795761148717
MEPO 0.202160467359011 0.00167156058511309
PARO 0.286966194424324 0.00295107360220138
SIAL 0.467431369489492 0.00437694513849767
VISA 0.0839833654555558 0.00188873171494758
