row col alpha alphas.se$se
1 BOOF BOOF 1.68843049274479 0.0615947196368919
2 BRMA BOOF 0.269763718246758 0.0166279368835675
3 CAAR BOOF 0.412449942770514 0.021865623057531
4 CABU BOOF 1.17236524431213 0.0400054542246246
5 DIER BOOF 1.29767181032805 0.0407367909837159
6 MACA BOOF 3.86776259765679 0.174509436947042
7 MEPO BOOF 0.422808848322504 0.0176464547129745
8 PARO BOOF 8.2972074394756 0.350003340580718
9 SIAL BOOF 1.53472749198148 0.058427501963876
10 VISA BOOF 0.524930402074014 0.030022236159772
11 BOOF BRMA 0.352043344673824 0.0301640267782494
12 BRMA BRMA 0.216790686756121 0.00930741401133152
13 CAAR BRMA 0.295448441004269 0.00805569311959074
14 CABU BRMA 0.470745345066188 0.0139915180439209
15 DIER BRMA 0.525539529026573 0.0117132489303204
16 MACA BRMA 0.288284603269024 0.0226244062244975
17 MEPO BRMA 0.171332336096372 0.00788088190342486
18 PARO BRMA 2.29397434986448 0.0638935258642062
19 SIAL BRMA 0.510926327414307 0.0104502481303507
20 VISA BRMA 0.299156668568476 0.0149806907828512
21 BOOF CAAR 0.764077693213902 0.0252094022387522
22 BRMA CAAR 1.05414597355432 0.0230343844177212
23 CAAR CAAR 1.38104301381623 0.0211228276558437
24 CABU CAAR 2.01913139500078 0.0508996778074882
25 DIER CAAR 1.38934343587472 0.0237945022526179
26 MACA CAAR 5.2418264223834 0.140084290252529
27 MEPO CAAR 0.736062319328138 0.0202341956410979
28 PARO CAAR 6.0272379685072 0.132545065733978
29 SIAL CAAR 0.913790090599191 0.0195793608187269
30 VISA CAAR 0.0843237857333548 0.00297846791281636
31 BOOF CABU 0.420116892933978 0.0455964980389486
32 BRMA CABU 0.000242183400767448 0.00226024612695208
33 CAAR CABU 0.0321605440663248 0.00130971475804999
34 CABU CABU 0.14588241176163 0.00392620943691297
35 DIER CABU 0.266370735274397 0.00562914490937124
36 MACA CABU 0.444209821275056 0.0204107811982419
37 MEPO CABU 0.0695687574633708 0.00290968361460073
38 PARO CABU 1.6269279229099 0.0469878515037895
39 SIAL CABU 0.392854818937888 0.0116693786243212
40 VISA CABU 0.22267678602073 0.0166571741028433
41 BOOF DIER 1.26573427914673 0.133916269765459
42 BRMA DIER 0.672481207224186 0.0180803128185436
43 CAAR DIER 0.778263419908912 0.016533325245139
44 CABU DIER 1.40451784067148 0.0326943267678847
45 DIER DIER 0.896103868696248 0.0131852110320428
46 MACA DIER 5.61703643387606 0.230157385015964
47 MEPO DIER 0.572932379570921 0.0202296830926671
48 PARO DIER 3.16833241727968 0.0834289624366758
49 SIAL DIER 0.369773713264889 0.0183889903556382
50 VISA DIER -0.127421377926185 0.00891055177552493
51 BOOF MACA 0.357710361654015 0.0139275858132026
52 BRMA MACA 0.198633946794987 0.00961421993464687
53 CAAR MACA 0.300114372805224 0.0102760782769047
54 CABU MACA 0.531157983127624 0.0117071103885802
55 DIER MACA 0.528810343526206 0.00738997490548683
56 MACA MACA 1.22335286467122 0.0263983032009478
57 MEPO MACA 0.163019092962639 0.00394576249882174
58 PARO MACA 3.28141710495116 0.0817939047252485
59 SIAL MACA 0.60436452052927 0.00813485483211396
60 VISA MACA 0.210449897100653 0.00638086300854557
61 BOOF MEPO 0.39243473219866 0.0205958690221448
62 BRMA MEPO 0.206082850387551 0.00713826904454084
63 CAAR MEPO 0.366671998174737 0.00976780231782303
64 CABU MEPO 0.955826520539639 0.0253048575776762
65 DIER MEPO 1.02690326232093 0.0159864790973988
66 MACA MEPO 1.08771510480089 0.0462564671815821
67 MEPO MEPO 0.347044004505121 0.0101542489571499
68 PARO MEPO 6.47664724837663 0.187925467330123
69 SIAL MEPO 1.3146811931919 0.0244761947194996
70 VISA MEPO 0.580358356058039 0.0229084989389398
71 BOOF PARO 0.582090833347362 0.0242463639380157
72 BRMA PARO 0.174590205337545 0.00613446707443368
73 CAAR PARO 0.362232535386242 0.00733762272010344
74 CABU PARO 0.86439012024265 0.0196235101476055
75 DIER PARO 1.01200416938305 0.0156544052386206
76 MACA PARO 1.99643341304068 0.0536335742694942
77 MEPO PARO 0.273145838277233 0.00818811903725813
78 PARO PARO 6.50797829359141 0.164794595166102
79 SIAL PARO 1.22698520262016 0.0173847487215017
80 VISA PARO 0.422955576062671 0.0110049925045461
81 BOOF SIAL 0.82957680888154 0.0326686436578471
82 BRMA SIAL 0.421619954872423 0.0130914844526542
83 CAAR SIAL 0.605040852042776 0.0141936119905072
84 CABU SIAL 1.20527633724748 0.0245633223481814
85 DIER SIAL 1.1355962517632 0.0187640987439239
86 MACA SIAL 3.13102227579649 0.077975470513048
87 MEPO SIAL 0.426538053132635 0.00985564559542498
88 PARO SIAL 6.54135815965009 0.159430354997942
89 SIAL SIAL 1.15540274799222 0.0202049401524786
90 VISA SIAL 0.321186394643378 0.00907212158769751
91 BOOF VISA 0.493387722090054 0.0206430122270822
92 BRMA VISA 0.186979228956382 0.00594236994252765
93 CAAR VISA 0.353487364940056 0.0082994486472258
94 CABU VISA 0.951378391792791 0.0227044904100164
95 DIER VISA 1.02104212247939 0.0160132624596914
96 MACA VISA 1.72296159455469 0.052063469531451
97 MEPO VISA 0.347899442767028 0.00764768306333641
98 PARO VISA 6.21570882463471 0.151808246054461
99 SIAL VISA 1.22970764529133 0.0206869704753964
100 VISA VISA 0.468031992357898 0.0156272750527146
