V1 V2
BOOF -0.190878961492636 0.0348505307269091
BRMA -0.0490530211011561 0.0229135251309669
CAAR -0.0788031352886968 0.0259715181862941
CABU -0.064353052777162 0.0191010885207913
DIER -0.13203810435349 0.0151330995225565
MACA 0.115347476860182 0.0168057153829346
MEPO -0.0615994703570202 0.00963317265365169
PARO 0.0452544190444379 0.00714833980935781
SIAL -0.0330283235480092 0.00876691235981634
VISA -0.0617966184637527 0.0118623277552567
