"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 2.66364700758998 0.8856308680167 0.774688588137874 10.1078950152919 1.46074945069764 0.280316654180766 0.268736759782198 0.340738211497476 2.79996182384924 0.282221013456549
"BRMA" 0.590340505981489 0.398118879116018 1.40242547409311 0.00485474013720593 0.871084185810983 0.51712450229352 0.44867846148461 0.031186699706713 1.24761933279238 0.0725588261672929
"CAAR" 0.620035884282469 0.589930459513669 1.97312950173858 0.0794318244674592 0.545848690736739 0.655976379823637 0.319041693089267 0.342643746645849 0.811408318258437 0.170267908003084
"CABU" 1.56160922019036 0.569415827098528 2.05603801578855 0.113546290538809 2.02795546280076 0.87833303635526 1.64986352233603 0.496746368319571 1.53731886851733 1.27515587095422
"DIER" 0.760933703765679 0.85326370222576 1.02191693008453 0.279188385086937 1.07855938514751 0.24763103493492 0.593257829106043 2.01698706778533 1.13366669361976 1.53346355204248
"MACA" 4.79029248834655 0.192515854188435 7.60032376771722 1.32068576897493 13.4709658738306 1.04084111071751 0.752310821531399 2.73071348296974 3.58334141042959 2.45925187973424
"MEPO" 0.434169439255255 0.192631612165228 1.19598710074342 0.156745779886121 1.95312875010217 0.0295951507777422 0.763349865978341 0.055262323034051 0.81309916799584 1.2078171972914
"PARO" 9.92349605259128 2.67445525309974 7.88682814218536 1.11192000235965 2.44115360875683 8.99904909453627 8.2598482212915 12.0658318352509 9.82651121280191 5.53525919070329
"SIAL" 2.52444508083318 0.504140374323719 0.757461519922683 0.831029843830905 0.204464124712885 0.844322492741377 1.0778741734689 1.30075838289088 1.41076705695887 1.67449282089532
"VISA" 1.05630304199566 1.01853917484361 0.147800121205311 2.01121289983934 0.0200567123054621 0.853684889251569 2.58332911345178 0.287963142412992 0.203831699040435 0.59688852446847
