"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "weight.9" "weight.10" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8" "var.exp.9" "var.exp.10"
"Control.optim.D1.r2.Rdata" 1 57660.6583504301 31077.5868675484 62213.1737350968 22.2781661602511 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35 9.9339409336128e-35
"Control.optim.D1.r20.Rdata" 1 57660.6652170752 31077.590300871 62213.1806017419 22.2766120194475 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35 9.93532707630617e-35
"Control.optim.D1.r21.Rdata" 1 57663.5010734194 31079.008229043 62216.0164580861 22.3095025433218 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35 9.90605370008145e-35
"Control.optim.D1.r22.Rdata" 1 57663.5329083846 31079.0241465256 62216.0482930513 22.1991355617944 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34 1.00047979970593e-34
"Control.optim.D1.r23.Rdata" 1 57663.5202603856 31079.0178225261 62216.0356450523 22.2815625264978 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35 9.93091271418594e-35
"Control.optim.D1.r24.Rdata" 1 57660.6770842329 31077.5962344498 62213.1924688996 22.3084032986694 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35 9.90702996402035e-35
"Control.optim.D1.r25.Rdata" 1 57663.5397872103 31079.0275859385 62216.055171877 22.2773058035576 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35 9.93470825239801e-35
"Control.optim.D1.r26.Rdata" 1 57663.5494756688 31079.0324301678 62216.0648603355 22.2686349224969 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35 9.94244644065175e-35
"Control.optim.D1.r27.Rdata" 1 57663.5155096532 31079.0154471599 62216.0308943199 22.2968454010154 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35 9.91730353535743e-35
"Control.optim.D1.r28.Rdata" 1 57663.551010294 31079.0331974804 62216.0663949607 22.1466753097708 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34 1.00522521494297e-34
"Control.optim.D1.r29.Rdata" 1 57661.863399498 31078.1893920823 62214.3787841647 22.3399737346958 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35 9.87904888762783e-35
"Control.optim.D1.r3.Rdata" 1 57663.5470763361 31079.0312305014 62216.0624610028 22.2736655674236 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35 9.93795582196309e-35
"Control.optim.D1.r30.Rdata" 1 57662.8046624412 31078.660023554 62215.3200471079 22.3075845118996 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35 9.9077572407837e-35
"Control.optim.D1.r31.Rdata" 1 57663.5386876731 31079.0270361699 62216.0540723399 22.2697229647405 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35 9.94147493889714e-35
"Control.optim.D1.r32.Rdata" 1 57660.6969263825 31077.6061555246 62213.2123110492 22.4423915560629 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35 9.78908682061475e-35
"Control.optim.D1.r33.Rdata" 1 57663.5429544884 31079.0291695775 62216.0583391551 22.293003961842 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35 9.92072164811566e-35
"Control.optim.D1.r34.Rdata" 1 57662.106527807 31078.3109562369 62214.6219124737 22.5875461150481 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35 9.66367568446418e-35
"Control.optim.D1.r35.Rdata" 1 57663.5483363462 31079.0318605064 62216.0637210129 22.2721520802284 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35 9.93930652034895e-35
"Control.optim.D1.r36.Rdata" 1 57663.5473850105 31079.0313848386 62216.0627696772 22.2851442145346 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35 9.92772076060951e-35
"Control.optim.D1.r37.Rdata" 1 57661.9579831272 31078.2366838969 62214.4733677939 24.0688880001332 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35 8.51076108061008e-35
"Control.optim.D1.r38.Rdata" 1 57660.6585041849 31077.5869444258 62213.1738888516 22.2705779294273 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35 9.94071164960263e-35
"Control.optim.D1.r39.Rdata" 1 57660.6583607574 31077.5868727121 62213.1737454241 22.2785141424414 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35 9.93363060703489e-35
