"BOOF" "BRMA" "CAAR" "CABU" "DIER" "MACA" "MEPO" "PARO" "SIAL" "VISA"
"BOOF" 1.01267836930672 2.92190145282601 2.46255461054321 0.828959917175376 2.51755746586343 0.613621792376321 2.63995031200203 1.1398177873555 0.793194425461892 1.16333877306625
"BRMA" 0.596920603452751 1.83727465061391 1.453814587222 0.494797539581901 1.53014794160428 0.24120773964475 0.115709331034256 2.24908109749128 0.853397741679056 2.14938423666567
"CAAR" 0.0223075826062229 0.0474549758927478 0.0539122752648282 0.00862039765524027 0.175988057518239 0.0746894069159434 0.0435368503642344 0.00423197712010702 0.055485622981833 0.0912852722841836
"CABU" 0.690751308493325 0.72387623172671 1.6546768959368 0.552162514159333 1.89046309188071 1.80935919446677 0.509749020871414 1.34409329896967 1.28696480921935 0.855252468547054
"DIER" 0.0693457006115071 0.315362196499682 0.170903988268675 -0.00665205080740226 0.0858058349015984 0.0415279218963179 0.564360151341439 0.0165780205799181 0.0539901340826473 0.648259960983584
"MACA" 1.03900924717814 2.57521403695513 2.51824519674015 0.883033220857695 2.86987009165145 1.10359789019939 2.64984487638527 1.54409335444398 2.49146691453434 1.80165308801202
"MEPO" 0.371720853757278 1.1599851989365 0.905648005042311 0.173685301764894 0.377995968116547 0.11594565628795 0.921262444146932 0.581522810139999 1.00707370201112 1.27399929514211
"PARO" 0.699757168103134 2.02278335338548 1.7016906965274 0.598046442032119 1.85071346817694 0.421313476774898 1.26278966473893 0.726355966007687 1.27073134211699 3.99937718825528
"SIAL" 1.41967046916126 2.42588749164947 3.41929280038404 1.16436368365482 3.85979002727638 2.66540549265384 3.8745577467945 1.86252143102059 1.82265396002845 5.14108954217106
"VISA" 0.0861559212219821 0.201877590963639 0.208585889736165 0.175370289474536 0.398688920093801 0.0506856859074473 0.462935453465604 0.112303208774865 0.343128897958933 0.407312658152691
