"A.calendula" "H.glabra" "H.glutinosum" "M.minima" "P.airoides" "P.canescens" "T.cyanopetala" "V.rosea" "Other"
"A.calendula" -0.342511951966242 NA 0.497884269901533 -0.191634995668355 NA 0.155077956402147 0.0865973542711263 NA 0.0618397651248011
"H.glabra" NA NA 0.422220243917132 2829437.19352468 0.388535498406387 NA 0.420984126184405 0.321809238843379 -0.0221209822122716
"H.glutinosum" NA NA 0.163712112014101 NA -0.888824292179807 NA -0.987948596991911 3.82878654850155 -0.0565821992760376
"M.minima" 3.00367087206416 NA -1.37157143378182 0.0557911585636201 -0.494358888986764 NA -0.173695317483086 NA 0.610453995589373
"P.airoides" 5.51047569070833 -2.45483002951158 0.151236448013029 NA 1.43942786955041 NA -3.11947070985755 NA 1.79551356364943
"P.canescens" NA NA 1.85180615315067 -0.575781522927036 2.21443750325761 2.36606601935873 NA 24.7343732552199 -2.57853021046453
"T.cyanopetala" NA NA 0.532807147783657 -0.335706458479208 -1.51894910149213 NA 2.11755431826442 NA 0.810209800102146
"V.rosea" -0.115333031536505 NA -0.357045587326321 0.00842296091385519 0.423664526772648 NA NA -0.207628222802576 0.0503998595994053
