"A.calendula" "H.glabra" "H.glutinosum" "M.minima" "P.airoides" "P.canescens" "T.cyanopetala" "V.rosea" "Other"
"1" 6.149037844945e-06 -5.50129641556559e-07 -2.56262696470914e-06 -1.76130602494282e-05 -2.67155365335308e-09 1.28845196536984e-09 -1.39977590715922e-09 -8.14210215039676e-07 6.15166760583388e-10
"2" -4.8329819637381e-05 4.32387424244961e-06 2.0141573710446e-05 0.000138434019529897 2.09977088243625e-08 -1.01268934535742e-08 1.10018703464918e-08 6.39947806991139e-06 -4.83504888660724e-09
"3" -9.27046674798933e-06 8.29391309296615e-07 3.86349029927777e-06 2.65539574629366e-05 4.0277113157206e-09 -1.94250733245397e-09 2.11034251685797e-09 1.22752679601797e-06 -9.27443145132834e-10
"4" 6.08786709944554e-05 -5.4465694141323e-06 -2.53713390289669e-05 -0.000174378451908853 -2.6449769867691e-08 1.27563442069873e-08 -1.38585090979667e-08 -8.06110436325808e-06 6.09047069942306e-09
"5" 1.58317213169635e-05 -1.41640032033375e-06 -6.59790961897617e-06 -4.53477549560161e-05 -6.87835950757269e-09 3.31733402206954e-09 -3.60395603786413e-09 -2.09631970772955e-06 1.58384920740434e-09
"6" -7.97302412683076e-06 7.13314345368846e-07 3.32277782848412e-06 2.28376142507334e-05 3.46401539093106e-09 -1.67064488220728e-09 1.81499079390309e-09 1.0557290185098e-06 -7.97643395248862e-10
"7" -9.34884941223116e-06 8.36403890463122e-07 3.89615647145249e-06 2.67784736592285e-05 4.06176599196348e-09 -1.95893141380457e-09 2.1281856604052e-09 1.23790564999757e-06 -9.35284763750807e-10
"8" -3.00191210949442e-06 2.68568981753475e-07 1.25105441069962e-06 8.59855804782192e-06 1.30423156685523e-09 -6.29012156840971e-10 6.8335963320411e-10 3.97491049142099e-07 -3.00319593816103e-10
