"A.calendula" "H.glabra" "H.glutinosum" "M.minima" "P.airoides" "P.canescens" "T.cyanopetala" "V.rosea" "Other"
"A.calendula" 0.47352187555717 -0.000602814704330587 0.04357501263726 0.0800983955285307 0.009813917939932 0.603486053167307 -0.378358822328597 -0.000657246201349364 -0.133457195247812
"H.glabra" -1.05590647856134 -0.00217150783956968 0.159457969501682 -0.190035493647805 0.0704126237612693 2.26232584402472 0.102662518892185 -0.00146469815895255 -0.450246875100405
"H.glutinosum" 1.19875243553826 2.17960845443787e-05 -0.00267117422786523 0.20780412597797 -0.0157907098575901 -0.0607399077059089 -0.631584417392717 -0.000373748443846961 -0.00860425098009126
"M.minima" 1.03086515590706 -0.000894858448225622 0.0643901572163915 0.175732132690597 0.0104051732937283 0.885357912720428 -0.735697807367701 -0.00108287474959395 -0.201734951978919
"P.airoides" -10.6568155943258 0.000345332289047012 -0.0156042359810231 -1.84561070535576 0.126225494564504 -0.013280240272931 5.72836651289742 0.00377192256446573 0.19116465531301
"P.canescens" 17.2474193538894 0.00135316477184913 -0.114314223139297 2.9932237664932 -0.254484961798072 -1.94077770260045 -8.86799648393031 -0.00451096082355753 0.0973339156058854
"T.cyanopetala" -3.01635279600557 -0.000647973026309694 0.0500160153868242 -0.524813067602493 0.0553044023242166 0.76153939338349 1.46420114661103 0.000446080114344015 -0.104516284728266
"V.rosea" -27.1141720666022 0.000255983337562573 0.0057474101445157 -4.69781682062289 0.337502010702454 0.605207125708114 14.4434616657641 0.00907795075751692 0.35393532089727
