"A.calendula" "H.glabra" "H.glutinosum" "M.minima" "P.airoides" "P.canescens" "T.cyanopetala" "V.rosea" "Other"
"1" 3.07269590839124e-07 1.67069655936139e-10 2.47124676610218e-09 3.19377008543116e-08 -6.12219210318528e-10 1.18802094928046e-06 -5.21180212152305e-10 6.05375480224646e-11 -1.57279320819897e-10
"2" 1.24344195218156e-07 6.76088442596002e-11 1.00005076804795e-09 1.29243759494796e-08 -2.47749556981086e-10 4.80761888728297e-07 -2.10908387864637e-10 2.44980073321834e-11 -6.36469444255797e-11
"3" -8.71431911519149e-09 -4.73817891421289e-12 -7.00857929786957e-11 -9.05769153042262e-10 1.736284268351e-11 -3.36928676843359e-08 1.47809312103269e-11 -1.71687510787617e-12 4.46052011883844e-12
"4" -8.95053998926709e-08 -4.86661772278151e-11 -7.1985623253312e-10 -9.30322027250112e-09 1.78335008979867e-10 -3.46061873079693e-07 1.51816010095391e-10 -1.76341480114424e-11 4.5814323722659e-11
"5" -1.76086806941059e-08 -9.57425112266928e-12 -1.41619595684034e-10 -1.83025197811355e-09 3.50844109235037e-11 -6.8081847919474e-08 2.98672443140697e-11 -3.46922176783124e-12 9.0131969536596e-12
"6" -2.23987821287108e-08 -1.2178741194053e-11 -1.80144471013354e-10 -2.32813667364243e-09 4.46284471870038e-11 -8.66021995037231e-08 3.79920511818782e-11 -4.41295653454849e-12 1.14650630762904e-11
"7" 1.07368252347809e-08 5.83786274757164e-12 8.63520030315938e-11 1.11598909458305e-09 -2.13925844357543e-11 4.15126445570112e-08 -1.82114371891592e-11 2.11534461150003e-12 -5.49576212887405e-12
"8" -9.12326074994553e-07 -4.96053003600708e-10 -7.33747474425937e-09 -9.48274679091815e-08 1.81776383292873e-09 -3.52739913737777e-06 1.54745640796811e-09 -1.79744384813029e-10 4.66984139398789e-10
