"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8"
"Shade.optim.D1.r43.Rdata" 1 30598.0235852933 15824.557736124 31697.1154722479 681.889811203257 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.06035685514628e-37 1.06035685514628e-37 1.06035685514628e-37 1.06035685514628e-37 1.06035685514628e-37 1.06035685514628e-37 1.06035685514628e-37
"Shade.optim.D1.r44.Rdata" 1 30595.8743149031 15823.4831009289 31694.9662018578 1059.47616180437 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.39236145616093e-38 4.39236145616093e-38 4.39236145616093e-38 4.39236145616093e-38 4.39236145616093e-38 4.39236145616093e-38 4.39236145616093e-38
"Shade.optim.D1.r45.Rdata" 1 30597.5095508771 15824.3007189159 31696.6014378317 816.850523828354 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.38916334474825e-38 7.38916334474825e-38 7.38916334474825e-38 7.38916334474825e-38 7.38916334474825e-38 7.38916334474825e-38 7.38916334474825e-38
"Shade.optim.D1.r46.Rdata" 1 30598.5946122133 15824.843249584 31697.686499168 632.352929688947 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.23299518600333e-37 1.23299518600333e-37 1.23299518600333e-37 1.23299518600333e-37 1.23299518600333e-37 1.23299518600333e-37 1.23299518600333e-37
"Shade.optim.D1.r47.Rdata" 1 30596.6043313278 15823.8481091412 31695.6962182825 854.688658940206 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 6.74939069550837e-38 6.74939069550837e-38 6.74939069550837e-38 6.74939069550837e-38 6.74939069550837e-38 6.74939069550837e-38 6.74939069550837e-38
"Shade.optim.D1.r48.Rdata" 1 30617.0720485641 15834.0819677594 31716.1639355187 185.562027998593 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.4318655174881e-36 1.4318655174881e-36 1.4318655174881e-36 1.4318655174881e-36 1.4318655174881e-36 1.4318655174881e-36 1.4318655174881e-36
"Shade.optim.D1.r49.Rdata" 1 30598.0615873423 15824.5767371485 31697.153474297 755.262674151424 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.64339592518714e-38 8.64339592518714e-38 8.64339592518714e-38 8.64339592518714e-38 8.64339592518714e-38 8.64339592518714e-38 8.64339592518714e-38
"Shade.optim.D1.r5.Rdata" 1 30598.5693959088 15824.8306414317 31697.6612828634 584.456370845984 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.44336528914987e-37 1.44336528914987e-37 1.44336528914987e-37 1.44336528914987e-37 1.44336528914987e-37 1.44336528914987e-37 1.44336528914987e-37
"Shade.optim.D1.r50.Rdata" 1 30571.5994951505 15811.3456910526 31670.6913821051 323.756609668159 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.70373843858396e-37 4.70373843858396e-37 4.70373843858396e-37 4.70373843858396e-37 4.70373843858396e-37 4.70373843858396e-37 4.70373843858396e-37
"Shade.optim.D1.r6.Rdata" 1 30571.7316372007 15811.4117620777 31670.8235241553 302.007305680626 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 5.40562050420461e-37 5.40562050420461e-37 5.40562050420461e-37 5.40562050420461e-37 5.40562050420461e-37 5.40562050420461e-37 5.40562050420461e-37
"Shade.optim.D1.r7.Rdata" 1 30597.1117049693 15824.1017959619 31696.2035919239 748.236918226662 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.80647660561871e-38 8.80647660561871e-38 8.80647660561871e-38 8.80647660561871e-38 8.80647660561871e-38 8.80647660561871e-38 8.80647660561871e-38
"Shade.optim.D1.r8.Rdata" 1 30597.6550131766 15824.3734500656 31696.7469001313 808.424630929344 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.54399473879994e-38 7.54399473879994e-38 7.54399473879994e-38 7.54399473879994e-38 7.54399473879994e-38 7.54399473879994e-38 7.54399473879994e-38
"Shade.optim.D1.r9.Rdata" 1 30598.4585874882 15824.7752372214 31697.5504744428 669.063039092456 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.1014032994091e-37 1.1014032994091e-37 1.1014032994091e-37 1.1014032994091e-37 1.1014032994091e-37 1.1014032994091e-37 1.1014032994091e-37
"Shade.optim.D2.r1.Rdata" 2 29596.3940479632 15323.7429674589 30723.4859349179 1113.40312566265 0.588084584782641 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999999721019019 2.78980981360665e-07 3.97718192890526e-38 3.97718192890526e-38 3.97718192890526e-38 3.97718192890526e-38 3.97718192890526e-38 3.97718192890526e-38
"Shade.optim.D2.r10.Rdata" 2 30448.9633029542 15750.0275949544 31576.0551899088 230.279696929333 0.347630558584336 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999997721108732 2.27889126836557e-06 9.29754229826948e-37 9.29754229826948e-37 9.29754229826948e-37 9.29754229826948e-37 9.29754229826948e-37 9.29754229826948e-37
"Shade.optim.D2.r11.Rdata" 2 29038.5413398672 15044.8166134109 30165.6332268219 120.542432728456 1.12524092810751 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999912868880428 8.71311195716661e-05 3.39283472859994e-36 3.39283472859994e-36 3.39283472859994e-36 3.39283472859994e-36 3.39283472859994e-36 3.39283472859994e-36
"Shade.optim.D2.r12.Rdata" 2 29048.1891736761 15049.6405303154 30175.2810606308 61.4017907056195 1.08686652973284 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999686776525278 0.00031322347472195 1.3073212618429e-35 1.3073212618429e-35 1.3073212618429e-35 1.3073212618429e-35 1.3073212618429e-35 1.3073212618429e-35
"Shade.optim.D2.r13.Rdata" 2 29159.0986711612 15105.0952790579 30286.1905581158 408.115539379782 0.516290940962597 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999998399623918 1.6003760818819e-06 2.96014846457577e-37 2.96014846457577e-37 2.96014846457577e-37 2.96014846457577e-37 2.96014846457577e-37 2.96014846457577e-37
"Shade.optim.D2.r14.Rdata" 2 29211.8733459102 15131.4826164324 30338.9652328648 669.339734884922 0.548550128481543 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999999328356006 6.71643994440626e-07 1.1004921386933e-37 1.1004921386933e-37 1.1004921386933e-37 1.1004921386933e-37 1.1004921386933e-37 1.1004921386933e-37
"Shade.optim.D2.r15.Rdata" 2 30217.2940900447 15634.1929884997 31344.3859769994 985.839983720669 0.23993492298171 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999999940765593 5.92344073430413e-08 5.07303161243226e-38 5.07303161243226e-38 5.07303161243226e-38 5.07303161243226e-38 5.07303161243226e-38 5.07303161243226e-38
"Shade.optim.D2.r16.Rdata" 2 29172.4750450711 15111.7834660129 30299.5669320257 455.190010370897 0.656086887866844 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999997922522306 2.07747769436445e-06 2.37954599501035e-37 2.37954599501035e-37 2.37954599501035e-37 2.37954599501035e-37 2.37954599501035e-37 2.37954599501035e-37
"Shade.optim.D2.r17.Rdata" 2 28973.4212589285 15012.2565729416 30100.5131458831 764.285844074358 1.01929105359856 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999998221376522 1.77862347829654e-06 8.44049752737086e-38 8.44049752737086e-38 8.44049752737086e-38 8.44049752737086e-38 8.44049752737086e-38 8.44049752737086e-38
"Shade.optim.D2.r18.Rdata" 2 29014.7273918187 15032.9096393866 30141.8192787733 666.68658302504 1.10856748952156 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.99999723509862 2.7649013794289e-06 1.10926630213776e-37 1.10926630213776e-37 1.10926630213776e-37 1.10926630213776e-37 1.10926630213776e-37 1.10926630213776e-37
"Shade.optim.D2.r19.Rdata" 2 30302.5204501838 15676.8061685692 31429.6123371385 440.92106994607 0.464836723719133 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999998888578804 1.11142119633981e-06 2.53605263553234e-37 2.53605263553234e-37 2.53605263553234e-37 2.53605263553234e-37 2.53605263553234e-37 2.53605263553234e-37
"Shade.optim.D2.r2.Rdata" 2 28931.7591128654 14991.42549991 30058.8509998201 344.470150699725 1.83553909800751 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999971606968902 2.83930310978729e-05 4.15494165578258e-37 4.15494165578258e-37 4.15494165578258e-37 4.15494165578258e-37 4.15494165578258e-37 4.15494165578258e-37
"Shade.optim.D2.r20.Rdata" 2 29019.6632872798 15035.3775871172 30146.7551742344 688.446701795108 0.627548793190577 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.999999169089993 8.30910006831663e-07 1.04025411579287e-37 1.04025411579287e-37 1.04025411579287e-37 1.04025411579287e-37 1.04025411579287e-37 1.04025411579287e-37
"Shade.optim.D2.r21.Rdata" 2 28798.606059581 14924.8489732678 29925.6979465356 37.2742346816967 3.26862842815815 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 0.992368906323745 0.0076310936762555 3.52156840360781e-35 3.52156840360781e-35 3.52156840360781e-35 3.52156840360781e-35 3.52156840360781e-35 3.52156840360781e-35
