lambdas.mean lambdas.se
BOOF 9.86963549241254 0.101668268454898
BRMA 11.2277793229868 0.0847584735820451
CAAR 2.22617582146673 0.00331842652148755
CABU 7.04731303503833 0.0660742887514979
DIER 15.2202201182427 0.102448994689429
MACA 7.87108083174129 0.0886775334411354
MEPO 58.5203300499189 0.338720599947494
PARO 5.6728713008085 0.0278109944099769
SIAL 54.6235308115718 0.567838912939293
VISA 5.6662659938873 0.0211459056576515
