row col alpha alphas.se$se
1 BOOF BOOF 3.70935737173533 1.32574912690596
2 BRMA BOOF 0.625429878262332 2.59815366423309
3 CAAR BOOF 0.544282625418238 2.17106342180438
4 CABU BOOF 1.33852120566434 4.22786724358919
5 DIER BOOF 0.815632688385202 2.64987763081898
6 MACA BOOF 4.48773017660239 6.95787944096833
7 MEPO BOOF 0.399105006760076 1.61211690799893
8 PARO BOOF 8.64656326139471 9.86598374203099
9 SIAL BOOF 2.98538735558191 1.62350479291683
10 VISA BOOF 0.83371919570182 0.584172420401319
11 BOOF BRMA 1.05699960288963 1.32574912690596
12 BRMA BRMA 0.461458471753651 2.59815366423309
13 CAAR BRMA 0.399520036781742 2.17106342180438
14 CABU BRMA 0.57812435582873 4.22786724358919
15 DIER BRMA 0.760202235394441 2.64987763081898
16 MACA BRMA 0.190792710708416 6.95787944096833
17 MEPO BRMA 0.16770754836811 1.61211690799893
18 PARO BRMA 2.56516325376566 9.86598374203099
19 SIAL BRMA 0.472477990587272 1.62350479291683
20 VISA BRMA 0.957168931260318 0.584172420401319
21 BOOF CAAR 1.06843152964529 1.32574912690596
22 BRMA CAAR 1.27064575189618 2.59815366423309
23 CAAR CAAR 1.80734013671296 2.17106342180438
24 CABU CAAR 2.23793307690887 4.22786724358919
25 DIER CAAR 1.11979785291112 2.64987763081898
26 MACA CAAR 7.00707914207263 6.95787944096833
27 MEPO CAAR 0.955845505169585 1.61211690799893
28 PARO CAAR 7.66761097853655 9.86598374203099
29 SIAL CAAR 0.819504122850229 1.62350479291683
30 VISA CAAR 0.140617551477766 0.584172420401319
31 BOOF CABU 11.4624683959246 1.32574912690596
32 BRMA CABU 0.0104860864219011 2.59815366423309
33 CAAR CABU 0.022068673119517 2.17106342180438
34 CABU CABU 0.110446137762217 4.22786724358919
35 DIER CABU 0.251504720301166 2.64987763081898
36 MACA CABU 0.858051548566126 6.95787944096833
37 MEPO CABU 0.120734912910186 1.61211690799893
38 PARO CABU 0.722765822195244 9.86598374203099
39 SIAL CABU 0.710294544621401 1.62350479291683
40 VISA CABU 1.35275057067535 0.584172420401319
41 BOOF DIER 3.67872093754794 1.32574912690596
42 BRMA DIER 0.866421681982076 2.59815366423309
43 CAAR DIER 0.526050331511529 2.17106342180438
44 CABU DIER 1.97933903734478 4.22786724358919
45 DIER DIER 0.986644017186312 2.64987763081898
46 MACA DIER 15.2848805294522 6.95787944096833
47 MEPO DIER 0.969496243501858 1.61211690799893
48 PARO DIER 2.54426590740291 9.86598374203099
49 SIAL DIER 0.212512879029499 1.62350479291683
50 VISA DIER -0.00664772446398024 0.584172420401319
51 BOOF MACA 0.596250042108833 1.32574912690596
52 BRMA MACA 0.5950927618432 2.59815366423309
53 CAAR MACA 0.818477978658826 2.17106342180438
54 CABU MACA 0.715798878053352 4.22786724358919
55 DIER MACA 0.285579236933827 2.64987763081898
56 MACA MACA 1.65273091353215 6.95787944096833
57 MEPO MACA 0.0210412733533357 1.61211690799893
58 PARO MACA 6.87941056594065 9.86598374203099
59 SIAL MACA 0.589136357727075 1.62350479291683
60 VISA MACA 0.808530865036474 0.584172420401319
61 BOOF MEPO 0.367855029759589 1.32574912690596
62 BRMA MEPO 0.561918550701608 2.59815366423309
63 CAAR MEPO 0.32629204948866 2.17106342180438
64 CABU MEPO 1.84885546016015 4.22786724358919
65 DIER MEPO 0.80568194477659 2.64987763081898
66 MACA MEPO 0.864424518727123 6.95787944096833
67 MEPO MEPO 0.67123901924232 1.61211690799893
68 PARO MEPO 7.96801914435437 9.86598374203099
69 SIAL MEPO 1.45939873052927 1.62350479291683
70 VISA MEPO 2.28112216033612 0.584172420401319
71 BOOF PARO 0.728616138751637 1.32574912690596
72 BRMA PARO 0.0437977607446224 2.59815366423309
73 CAAR PARO 0.427498455661793 2.17106342180438
74 CABU PARO 0.550133447440275 4.22786724358919
75 DIER PARO 2.13193877845931 2.64987763081898
76 MACA PARO 2.96071105409225 6.95787944096833
77 MEPO PARO 0.0403539382263369 1.61211690799893
78 PARO PARO 10.4385729602982 9.86598374203099
79 SIAL PARO 1.29444674562428 1.62350479291683
80 VISA PARO 0.314057144276395 0.584172420401319
81 BOOF SIAL 3.49034105333542 1.32574912690596
82 BRMA SIAL 1.15150131861454 2.59815366423309
83 CAAR SIAL 0.795708364894063 2.17106342180438
84 CABU SIAL 1.22501596133437 4.22786724358919
85 DIER SIAL 1.12635208921682 2.64987763081898
86 MACA SIAL 3.50472533532698 6.95787944096833
87 MEPO SIAL 0.565322281441171 1.61211690799893
88 PARO SIAL 9.1447168814749 9.86598374203099
89 SIAL SIAL 1.218494073965 1.62350479291683
90 VISA SIAL 0.188892893915205 0.584172420401319
91 BOOF VISA 0.445966979523932 1.32574912690596
92 BRMA VISA 0.0878054632407004 2.59815366423309
93 CAAR VISA 0.161890217422573 2.17106342180438
94 CABU VISA 1.44839984758118 4.22786724358919
95 DIER VISA 1.48624008864299 2.64987763081898
96 MACA VISA 2.2147926296461 6.95787944096833
97 MEPO VISA 0.873684322287699 1.61211690799893
98 PARO VISA 5.62184975202753 9.86598374203099
99 SIAL VISA 1.87075141266394 1.62350479291683
100 VISA VISA 0.504505248180135 0.584172420401319
