row col alpha alphas.se$se
1 BOOF BOOF 0.589131339272497 2.48899102781876
2 BRMA BOOF 1.97452767667572 1.51526585495248
3 CAAR BOOF 0.0765323435445923 0.357205015104744
4 CABU BOOF 1.19423917678221 1.8923081200447
5 DIER BOOF 1.31799105275789 0.579627816433592
6 MACA BOOF 4.36439759598105 2.12813563561778
7 MEPO BOOF 0.712357731529677 1.81718587246518
8 PARO BOOF 0.80861188070521 2.36271435930762
9 SIAL BOOF 0.249567492884245 1.22882012732199
10 VISA BOOF 0.646589851801417 0.505385611491984
11 BOOF BRMA 1.27047388419773 2.48899102781876
12 BRMA BRMA 2.81972839369053 1.51526585495248
13 CAAR BRMA 0.0502823937959709 0.357205015104744
14 CABU BRMA 1.38872261086475 1.8923081200447
15 DIER BRMA 0.258747691463318 0.579627816433592
16 MACA BRMA 1.66183908697867 2.12813563561778
17 MEPO BRMA 0.798797953454885 1.81718587246518
18 PARO BRMA 1.50238791481357 2.36271435930762
19 SIAL BRMA 1.07259050237907 1.22882012732199
20 VISA BRMA 0.346121589212323 0.505385611491984
21 BOOF CAAR 1.00430985028334 2.48899102781876
22 BRMA CAAR 1.06499213499208 1.51526585495248
23 CAAR CAAR 0.0349480710463715 0.357205015104744
24 CABU CAAR 0.794892396269811 1.8923081200447
25 DIER CAAR 0.101694354107341 0.579627816433592
26 MACA CAAR 2.42132291405343 2.12813563561778
27 MEPO CAAR 1.09195787114657 1.81718587246518
28 PARO CAAR 1.31126320790404 2.36271435930762
29 SIAL CAAR 1.26169668935867 1.22882012732199
30 VISA CAAR 0.219900279332279 0.505385611491984
31 BOOF CABU 0.410901788929691 2.48899102781876
32 BRMA CABU 0.302664944938048 1.51526585495248
33 CAAR CABU 0.00852948530955807 0.357205015104744
34 CABU CABU 2.37189659782022 1.8923081200447
35 DIER CABU -0.00740204917004238 0.579627816433592
36 MACA CABU 0.910016860497779 2.12813563561778
37 MEPO CABU 0.174520897116751 1.81718587246518
38 PARO CABU 0.177368246495276 2.36271435930762
39 SIAL CABU 0.420318583825588 1.22882012732199
40 VISA CABU 0.235025699896119 0.505385611491984
41 BOOF DIER 1.45210865355479 2.48899102781876
42 BRMA DIER 1.63129233161402 1.51526585495248
43 CAAR DIER 0.2051162166022 0.357205015104744
44 CABU DIER 1.52127526804155 1.8923081200447
45 DIER DIER 0.0889547240157315 0.579627816433592
46 MACA DIER 2.10328131484105 2.12813563561778
47 MEPO DIER 0.325684712066041 1.81718587246518
48 PARO DIER 1.09713705314326 2.36271435930762
49 SIAL DIER 1.71717085239075 1.22882012732199
50 VISA DIER 0.392083844800899 0.505385611491984
51 BOOF MACA 0.216074329530855 2.48899102781876
52 BRMA MACA 0.30884211622804 1.51526585495248
53 CAAR MACA 0.0695937045630898 0.357205015104744
54 CABU MACA 0.905026632452924 1.8923081200447
55 DIER MACA 0.0382273956278731 0.579627816433592
56 MACA MACA 0.924784814126469 2.12813563561778
57 MEPO MACA 0.122801338736149 1.81718587246518
58 PARO MACA 0.179160492295482 2.36271435930762
59 SIAL MACA 0.994989270046576 1.22882012732199
60 VISA MACA 0.0899947984382165 0.505385611491984
61 BOOF MEPO 1.44601418271694 2.48899102781876
62 BRMA MEPO 0.146982369537061 1.51526585495248
63 CAAR MEPO 0.0466413734094085 0.357205015104744
64 CABU MEPO 0.701136430590222 1.8923081200447
65 DIER MEPO 0.396289192291431 0.579627816433592
66 MACA MEPO 1.92739956774408 2.12813563561778
67 MEPO MEPO 0.68664110197099 1.81718587246518
68 PARO MEPO 0.935693804711157 2.36271435930762
69 SIAL MEPO 2.1196875244319 1.22882012732199
70 VISA MEPO 0.650037487103797 0.505385611491984
71 BOOF PARO 0.421441150771139 2.48899102781876
72 BRMA PARO 2.28680727343809 1.51526585495248
73 CAAR PARO 0.00413602718959817 0.357205015104744
74 CABU PARO 1.38872261086474 1.8923081200447
75 DIER PARO 0.0168795883460635 0.579627816433592
76 MACA PARO 1.71053807488532 2.12813563561778
77 MEPO PARO 0.655895809764132 1.81718587246518
78 PARO PARO 0.38556101602024 2.36271435930762
79 SIAL PARO 0.758028779540965 1.22882012732199
80 VISA PARO 0.160163283620931 0.505385611491984
81 BOOF SIAL 0.375957684327027 2.48899102781876
82 BRMA SIAL 1.06393815348212 1.51526585495248
83 CAAR SIAL 0.0482627853820199 0.357205015104744
84 CABU SIAL 1.94895284325769 1.8923081200447
85 DIER SIAL 0.0384069617588116 0.579627816433592
86 MACA SIAL 1.99608880993692 2.12813563561778
87 MEPO SIAL 0.860203710858558 1.81718587246518
88 PARO SIAL 0.258536292704511 2.36271435930762
89 SIAL SIAL 0.836485238933914 1.22882012732199
90 VISA SIAL 0.432026775907316 0.505385611491984
91 BOOF VISA 0.506596363865861 2.48899102781876
92 BRMA VISA 1.85457418452557 1.51526585495248
93 CAAR VISA 0.080195535218856 0.357205015104744
94 CABU VISA 1.63314370231882 1.8923081200447
95 DIER VISA 0.664315639709253 0.579627816433592
96 MACA VISA 1.53849229712733 2.12813563561778
97 MEPO VISA 1.17251706843471 1.81718587246518
98 PARO VISA 2.17874291568 2.36271435930762
99 SIAL VISA 3.01525800891728 1.22882012732199
100 VISA VISA 0.4732872402163 0.505385611491984
