row col alpha observed common alphas.se$se
78 P.canescens H.glutinosum -0.0228696659674995 TRUE TRUE 0.00746213783977225
79 T.cyanopetala H.glutinosum 0.295514301528976 TRUE TRUE 0.0141141423850857
80 V.rosea H.glutinosum 0.0359275466410746 TRUE TRUE 0.00176560987103119
81 A.calendula M.minima -0.00557364949458012 TRUE TRUE 0.00121706003078988
82 H.glabra M.minima 0.0120179397718449 FALSE TRUE 0.00390144526252339
83 H.glutinosum M.minima 3.09072349728581 FALSE TRUE 0.167696684488735
84 M.minima M.minima 3.01980315137521 TRUE TRUE 0.116647404074894
85 P.airoides M.minima 0.349961293853012 FALSE TRUE 0.0180230034504875
86 P.canescens M.minima -0.341624064458368 FALSE TRUE 0.162750165185421
87 T.cyanopetala M.minima 1.60871125514399 FALSE TRUE 0.147470715755743
88 V.rosea M.minima 0.153044310309552 FALSE TRUE 0.00856177890499521
89 A.calendula M.polymorpha -0.00623619615267936 FALSE TRUE 0.0014189616539801
90 H.glabra M.polymorpha -0.00703453260632641 FALSE TRUE 0.00123500556865159
91 H.glutinosum M.polymorpha 2.42677214590077 FALSE TRUE 0.270441238359522
92 M.minima M.polymorpha 0.767006496612502 FALSE TRUE 0.21709754464299
93 P.airoides M.polymorpha 0.25496894263743 FALSE TRUE 0.0280233245513187
94 P.canescens M.polymorpha -0.195321172149809 TRUE TRUE 0.0169686478154197
95 T.cyanopetala M.polymorpha 0.318249093366091 TRUE TRUE 0.0854463417170555
96 V.rosea M.polymorpha 0.0374172074561412 FALSE TRUE 0.0120122714650909
97 A.calendula N.rotundifolia 0.0152478983322567 FALSE FALSE 0.00420374130368359
98 H.glabra N.rotundifolia 0.0749763698819056 FALSE FALSE 0.0123832965615863
99 H.glutinosum N.rotundifolia -1.71868007938285 FALSE FALSE 0.868149052726442
100 M.minima N.rotundifolia 7.2654002255556 FALSE FALSE 0.591184204395556
101 P.airoides N.rotundifolia -0.10801029137356 TRUE FALSE 0.0989027669342307
102 P.canescens N.rotundifolia 0.416287687757843 FALSE FALSE 0.160172784604878
103 T.cyanopetala N.rotundifolia 1.56556833008995 FALSE FALSE 0.422033867067289
104 V.rosea N.rotundifolia 0.336571491380377 FALSE FALSE 0.036791973361158
105 A.calendula P.airoides -0.00206204597466682 TRUE TRUE 0.000660072260230157
106 H.glabra P.airoides 0.00660486454996693 TRUE TRUE 0.00165755158930669
107 H.glutinosum P.airoides 0.789605311292495 TRUE TRUE 0.0343268806087737
108 M.minima P.airoides 1.01023421577603 TRUE TRUE 0.0616487935309827
109 P.airoides P.airoides 0.106530996553739 TRUE TRUE 0.00373974506531638
110 P.canescens P.airoides -0.0737404872113894 TRUE TRUE 0.00396139768726302
111 T.cyanopetala P.airoides 0.549031541624254 TRUE TRUE 0.0306791431302214
112 V.rosea P.airoides 0.0487847584423991 TRUE TRUE 0.00302992154152478
113 A.calendula P.canescens -0.00505537668311342 FALSE TRUE 0.00154773798432507
114 H.glabra P.canescens 0.0105911441121831 TRUE TRUE 0.00427869326363939
115 H.glutinosum P.canescens 0.689346058664362 TRUE TRUE 0.120590095483058
116 M.minima P.canescens 2.23180115596019 TRUE TRUE 0.218163181604288
117 P.airoides P.canescens 0.15077766919198 TRUE TRUE 0.0164991955892066
118 P.canescens P.canescens -0.339353078685442 FALSE TRUE 0.0761501070668672
119 T.cyanopetala P.canescens 1.40522430755805 TRUE TRUE 0.0902890505893677
120 V.rosea P.canescens 0.10101389326835 FALSE TRUE 0.0108690226208273
121 A.calendula P.debilis 0.00215954409371708 FALSE TRUE 0.000714168421976699
122 H.glabra P.debilis 0.00144582984469825 FALSE TRUE 0.000906536274640809
123 H.glutinosum P.debilis -0.707890132185338 FALSE TRUE 0.0817916512742366
124 M.minima P.debilis -0.152852359233526 TRUE TRUE 0.0166130760435612
125 P.airoides P.debilis -0.0768320207441934 TRUE TRUE 0.0082602023492474
126 P.canescens P.debilis 0.0851148311592662 TRUE TRUE 0.0171518109066233
127 T.cyanopetala P.debilis -0.150753076611352 FALSE TRUE 0.0339866699771704
128 V.rosea P.debilis -0.00758741782536892 FALSE TRUE 0.00443103484538121
129 A.calendula P.gaudichaudii -0.00124393152447508 TRUE TRUE 0.000400135798616968
130 H.glabra P.gaudichaudii -0.00109673680193624 FALSE TRUE 0.000470876813491004
131 H.glutinosum P.gaudichaudii 0.18447998928039 FALSE TRUE 0.0315103078635768
132 M.minima P.gaudichaudii 0.0224252922379493 TRUE TRUE 0.0110187466950078
133 P.airoides P.gaudichaudii 0.0250353110315532 FALSE TRUE 0.00300657419483327
134 P.canescens P.gaudichaudii -0.0532309164971856 FALSE TRUE 0.0105319293450595
135 T.cyanopetala P.gaudichaudii 0.0501700504383305 TRUE TRUE 0.0138835686211502
136 V.rosea P.gaudichaudii -0.00113172614802516 FALSE TRUE 0.00260979673507665
137 A.calendula P.lessonni -0.0369836881454501 TRUE TRUE 0.00477678881279006
138 H.glabra P.lessonni -0.0461088735588746 TRUE TRUE 0.00620442317036591
139 H.glutinosum P.lessonni 7.09954511595715 FALSE TRUE 1.06020586812324
140 M.minima P.lessonni 0.516036197544567 FALSE TRUE 0.369397051689162
141 P.airoides P.lessonni 0.956338896143786 TRUE TRUE 0.104498364067531
142 P.canescens P.lessonni -1.48550051354908 FALSE TRUE 0.269556469628139
143 T.cyanopetala P.lessonni 3.03553178136595 TRUE TRUE 0.270201467032049
144 V.rosea P.lessonni -0.0316813665047763 FALSE TRUE 0.050016704356127
145 A.calendula P.muelleriana -0.000333426585897442 TRUE TRUE 0.000534727023672236
146 H.glabra P.muelleriana -0.000923774549114083 FALSE TRUE 0.000891130778131227
147 H.glutinosum P.muelleriana 0.137191114099178 TRUE TRUE 0.0154989036217337
148 M.minima P.muelleriana 0.0763708681053687 FALSE TRUE 0.0177300869235913
149 P.airoides P.muelleriana 0.00113160012926324 TRUE TRUE 0.00369377690672643
150 P.canescens P.muelleriana 0.0424088106624771 TRUE TRUE 0.010430011231591
151 T.cyanopetala P.muelleriana 0.0491906075332638 FALSE TRUE 0.0215771954111373
152 V.rosea P.muelleriana 0.00744080316226831 TRUE TRUE 0.00231498217754438
153 A.calendula S.cassiniana -0.0353900309920968 FALSE FALSE 0.00446852336832274
154 H.glabra S.cassiniana -0.0441274093206724 FALSE FALSE 0.00580802771845913
155 H.glutinosum S.cassiniana 7.43594145476637 FALSE FALSE 1.07816231904308
156 M.minima S.cassiniana 0.660105552527537 FALSE FALSE 0.347420003331735
157 P.airoides S.cassiniana 0.964961483415383 FALSE FALSE 0.107405607217937
158 P.canescens S.cassiniana -1.38321874264629 FALSE FALSE 0.247725428193879
159 T.cyanopetala S.cassiniana 3.09193797353973 TRUE FALSE 0.281466538143194
160 V.rosea S.cassiniana -0.015376386265639 FALSE FALSE 0.0443022328916874
161 A.calendula T.cyanopetala 9.17520233148883e-05 TRUE TRUE 0.000367486017902459
162 H.glabra T.cyanopetala -0.000273531580339138 TRUE TRUE 0.000480423439794867
163 H.glutinosum T.cyanopetala -0.627428805010343 TRUE TRUE 0.0645489089998035
164 M.minima T.cyanopetala -0.165191473062238 TRUE TRUE 0.0182352506173524
165 P.airoides T.cyanopetala -0.053683966085581 FALSE TRUE 0.00683307208920081
166 P.canescens T.cyanopetala -0.0106289962570143 FALSE TRUE 0.0181088456695224
167 T.cyanopetala T.cyanopetala -0.0930459251938933 TRUE TRUE 0.0256349315916928
168 V.rosea T.cyanopetala -0.0140429276920295 FALSE TRUE 0.00395986125597971
169 A.calendula V.rosea 0.00501374643993401 FALSE FALSE 0.000751818008564255
170 H.glabra V.rosea 0.00489904970437123 FALSE FALSE 0.000961905313076347
171 H.glutinosum V.rosea -2.39894375882222 FALSE FALSE 0.276448530594723
172 M.minima V.rosea -0.404001700694689 FALSE FALSE 0.0515640073025068
173 P.airoides V.rosea -0.259615850928528 FALSE FALSE 0.0286598050521052
174 P.canescens V.rosea 0.169383029942849 FALSE FALSE 0.0163665925152828
175 T.cyanopetala V.rosea -0.506255731208276 TRUE FALSE 0.0833617741313922
176 V.rosea V.rosea -0.0150062657883341 TRUE FALSE 0.00271098687700667
177 A.calendula Vulpia.sp -0.0337355824326948 TRUE TRUE 0.00368581976553096
178 H.glabra Vulpia.sp -0.0392251365857929 FALSE TRUE 0.00491620005651945
179 H.glutinosum Vulpia.sp 10.422892921075 FALSE TRUE 1.32954904686971
180 M.minima Vulpia.sp 1.68651028277499 FALSE TRUE 0.266217185200979
181 P.airoides Vulpia.sp 1.15253229748114 FALSE TRUE 0.140285274882241
182 P.canescens Vulpia.sp -1.01175191212566 FALSE TRUE 0.137521916855025
