row col alpha observed common alphas.se$se
78 P.canescens Erodium.cygnorum -7.8933276332002 FALSE TRUE 1.06650081338931
79 T.cyanopetala Erodium.cygnorum -1.29337655305546 TRUE TRUE 0.0447870423178873
80 V.rosea Erodium.cygnorum 0.0485764096239355 FALSE TRUE 0.015989693391366
81 A.calendula G.berardiana 0.0296967798770414 FALSE TRUE 0.00760494817676124
82 H.glabra G.berardiana 0.12390657387792 TRUE TRUE 0.00505485285402905
83 H.glutinosum G.berardiana 0.446988520508828 FALSE TRUE 0.127682693580042
84 M.minima G.berardiana -0.0285451028241167 FALSE TRUE 0.00234311707390424
85 P.airoides G.berardiana 0.733839429009353 FALSE TRUE 0.112103762473383
86 P.canescens G.berardiana 6.06133577123046 FALSE TRUE 0.441921382195991
87 T.cyanopetala G.berardiana 1.46932168895802 FALSE TRUE 0.0789074383351382
88 V.rosea G.berardiana -0.0561106235310719 FALSE TRUE 0.0126365276661646
89 A.calendula G.tenuifolia -0.00785384972320877 FALSE FALSE 0.00417256137706263
90 H.glabra G.tenuifolia -0.055117822950506 TRUE FALSE 0.0296004077424778
91 H.glutinosum G.tenuifolia 0.286143433275999 TRUE FALSE 0.163885216616123
92 M.minima G.tenuifolia 0.00483982793052432 FALSE FALSE 0.00444643099495709
93 P.airoides G.tenuifolia 0.277784819231931 FALSE FALSE 0.137435573713619
94 P.canescens G.tenuifolia 0.824287216054356 FALSE FALSE 0.696203340968362
95 T.cyanopetala G.tenuifolia -0.107471775986784 FALSE FALSE 0.0690322514694984
96 V.rosea G.tenuifolia -0.0240592863862739 FALSE FALSE 0.0254311115814047
97 A.calendula H.glabra 0.0996487471828872 FALSE FALSE 0.00877386852810763
98 H.glabra H.glabra 0.639612575702056 FALSE FALSE 0.100836390222551
99 H.glutinosum H.glabra 1.61759983512914 FALSE FALSE 0.311393729659187
100 M.minima H.glabra -0.0965975546117379 FALSE FALSE 0.00681435110097362
101 P.airoides H.glabra 2.47923173285105 TRUE FALSE 0.289223013695446
102 P.canescens H.glabra 19.9803851657471 FALSE FALSE 1.36814472060383
