order,date,code,plot,treatment,indiv,target,background,neighbours_number,fruits,unviable_seeds,seeds,,,,,,,,
302,2/17/15,141.1,141,C,1,CAAR,NA,0,26,250,122.5,,,,,,,,
303,2/17/15,141.2,141,C,2,DIER,BRMA,1,155,1169,771.54,,,,,,,,
304,2/17/15,141.3,141,C,3,DIER,BRMA,4,312,2354,1553.64,,,,,,,,
305,2/17/15,141.4,141,C,4,SIAL,BRMA,1,872,22332,6699.6,,,,,,,,
306,2/17/15,141.5,141,C,5,CAAR,NA,0,15,144,70.56,,,,,,,,
307,2/17/15,142.1,142,C,1,CAAR,BRMA,2,4,38,18.62,,,,,,,,
308,2/17/15,142.2,142,C,2,CAAR,BRMA,1,15,144,70.56,,,,,,,,
309,2/17/15,142.3,142,C,3,SIAL,PARO,1,65,1665,499.5,,,,,,,,
310,2/17/15,142.4,142,C,4,DIER,BRMA,3,5,38,25.08,,,,,,,,
311,2/17/15,143.1,143,C,1,CAAR,BRMA,1,40,384,188.16,,,,,,,,
312,2/17/15,143.2,143,C,2,SIAL,BRMA,2,17,435,130.5,,,,,,,,
313,2/17/15,143.3,143,C,3,SIAL,BRMA,2,14,359,107.7,,,,,,,,
314,2/17/15,143.4,143,C,4,SIAL,BRMA,5,215,5506,1651.8,,,,,,,,
315,2/17/15,143.5,143,C,5,CAAR,BRMA,6,29,279,136.71,,,,,,,,
316,2/17/15,143.6,143,C,6,DIER,BRMA,3,45,339,223.74,,,,,,,,
317,2/17/15,145.1,145,C,1,DIER,NA,0,145,1094,722.04,,,,,,,,
318,2/17/15,145.2,145,C,2,CAAR,NA,0,10,96,47.04,,,,,,,,
319,2/17/15,146.1,146,C,1,DIER,BRMA,2,40,302,199.32,,,,,,,,
320,2/17/15,146.2,146,C,2,CAAR,NA,0,8,77,37.73,,,,,,,,
321,2/17/15,148.1,148,C,1,DIER,CAAR,2,38,287,189.42,,,,,,,,
322,2/17/15,148.2,148,C,2,CAAR,CAAR,2,14,134,65.66,,,,,,,,
323,2/17/15,148.3,148,C,3,CAAR,CAAR,3,5,48,23.52,,,,,,,,
324,2/17/15,148.4,148,C,4,DIER,CAAR,3,98,739,487.74,,,,,,,,
325,2/17/15,148.5,148,C,5,DIER,CAAR,2,119,898,592.68,,,,,,,,
326,2/17/15,148.6,148,C,6,SIAL,CAAR,4,193,4943,1482.9,,,,,,,,
327,2/17/15,148.7,148,C,7,CAAR,CAAR,4,7,67,32.83,,,,,,,,
328,2/17/15,149.1,149,C,1,DIER,DIER,1,78,588,388.08,,,,,,,,
329,2/17/15,149.2,149,C,2,DIER,DIER,2,44,332,219.12,,,,,,,,
330,2/17/15,149.3,149,C,3,DIER,VISA,1,64,483,318.78,,,,,,,,
331,2/17/15,150.1,150,C,1,CABU,CABU,7,32,244,139.08,,,,,,,,
332,2/17/15,150.2,150,C,2,CABU,CABU,15,10,76,43.32,,,,,,,,
333,2/17/15,150.3,150,C,3,CABU,CABU,7,72,548,312.36,,,,,,,,
334,2/17/15,150.4,150,C,4,CABU,BRMA,2,18,137,78.09,,,,,,,,
335,2/17/15,150.5,150,C,5,CABU,CABU,4,12,91,51.87,,,,,,,,
336,2/17/15,150.6,150,C,6,CABU,CABU,3,10,76,43.32,,,,,,,,
337,2/17/15,150.7,150,C,7,CABU,CABU,4,16,122,69.54,,,,,,,,
338,2/17/15,150.8,150,C,8,DIER,CABU,17,44,332,219.12,,,,,,,,
339,2/17/15,150.9,150,C,9,CABU,CABU,10,17,129,73.53,,,,,,,,
340,2/17/15,150.1,150,C,10,CABU,CABU,2,54,411,234.27,,,,,,,,
341,2/17/15,150.11,150,C,11,CAAR,CABU,9,8,77,37.73,,,,,,,,
342,2/17/15,150.12,150,C,12,DIER,CABU,2,80,604,398.64,,,,,,,,
343,2/17/15,150.13,150,C,13,CAAR,CABU,15,3,29,14.21,,,,,,,,
344,2/17/15,150.14,150,C,14,CAAR,CABU,6,12,115,56.35,,,,,,,,
345,2/17/15,150.15,150,C,15,SIAL,CABU,5,10,256,76.8,,,,,,,,
346,2/17/15,151.1,151,C,1,SIAL,MACA,2,253,6479,1943.7,,,,,,,,
347,2/17/15,151.2,151,C,2,SIAL,MACA,1,295,7555,2266.5,,,,,,,,
348,2/17/15,151.3,151,C,3,SIAL,CABU,1,102,2612,783.6,,,,,,,,
349,2/17/15,151.4,151,C,4,CABU,SIAL,1,12,91,51.87,,,,,,,,
350,2/17/15,151.5,151,C,5,SIAL,BRMA,1,208,5327,1598.1,,,,,,,,
351,2/17/15,151.6,151,C,6,CAAR,SIAL,3,9,86,42.14,,,,,,,,
352,2/17/15,152.1,152,C,1,DIER,MACA,1,456,3440,2270.4,,,,,,,,
353,2/17/15,152.2,152,C,2,DIER,DIER,1,240,1811,1195.26,,,,,,,,
354,2/17/15,152.3,152,C,3,DIER,CABU,3,48,362,238.92,,,,,,,,
355,2/17/15,152.4,152,C,4,DIER,DIER,1,24,181,119.46,,,,,,,,
356,2/17/15,152.5,152,C,5,DIER,MEPO,2,32,241,159.06,,,,,,120.1,BOOF,20.81759
357,2/17/15,156.1,156,C,1,CAAR,CAAR,3,9,86,42.14,,,,,,,,
358,2/17/15,156.2,156,C,2,CAAR,CAAR,5,2,19,9.31,,,,,,,,
359,2/17/15,156.3,156,C,3,DIER,CAAR,3,76,573,378.18,,,,,,,,
360,2/17/15,156.4,156,C,4,CAAR,CAAR,3,3,29,14.21,,,,,,,,
361,2/17/15,156.5,156,C,5,SIAL,VISA,1,330,8451,2535.3,,,,,,,,
362,2/17/15,156.6,156,C,6,CAAR,MEPO,1,12,115,56.35,,,,,,,,
363,2/17/15,156.7,156,C,7,CAAR,MEPO,3,2,19,9.31,,,,,,,,
364,2/17/15,156.8,156,C,8,CAAR,VISA,2,1,10,4.9,,,,,,,,
365,2/17/15,159.1,159,C,1,DIER,MEPO,1,315,2376,1568.16,,,,,,,,
366,2/17/15,159.2,159,C,2,DIER,DIER,2,26,196,129.36,,,,,,,,
367,2/17/15,159.3,159,C,3,DIER,DIER,1,182,1373,906.18,,,,,,,,
368,2/17/15,159.4,159,C,4,DIER,MACA,1,298,2248,1483.68,,,,,,,,
369,2/17/15,159.5,159,C,5,DIER,MEPO,1,696,5251,3465.66,,,,,,,,
370,2/17/15,159.6,159,C,6,DIER,DIER,3,151,1139,751.74,,,,,,,,
371,2/17/15,159.7,159,C,7,DIER,DIER,3,270,2037,1344.42,,,,,,,,
372,2/17/15,159.8,159,C,8,SIAL,MEPO,2,12,307,92.1,,,,,,,,
373,2/17/15,161.1,161,C,1,CAAR,VISA,3,16,154,75.46,,,,,,,,
374,2/17/15,161.2,161,C,2,CAAR,VISA,1,162,1556,762.44,,,,,,,,
375,2/17/15,162.1,162,C,1,DIER,VISA,2,24,181,119.46,,,,,,,,
376,2/17/15,167.1,167,C,1,SIAL,BRMA,1,672,17210,5163,,,,,,,,
377,2/17/15,167.2,167,C,2,SIAL,NA,0,780,19976,5992.8,,,,,,,,
378,2/17/15,167.3,167,C,3,SIAL,BRMA,3,62,1588,476.4,,,,,,,,
379,2/17/15,167.4,167,C,4,SIAL,BRMA,2,216,5532,1659.6,,,,,,,,
380,2/17/15,167.5,167,C,5,SIAL,BRMA,3,315,8067,2420.1,,,,,,,,
381,2/17/15,167.6,167,C,6,SIAL,BRMA,5,647,16570,4971,,,,,,,,
382,2/17/15,167.7,167,C,7,DIER,BRMA,3,298,2248,1483.68,,,,,,,,
383,2/17/15,168.1,168,C,1,SIAL,DIER,1,425,10884,3265.2,,,,,,,,
384,2/17/15,168.2,168,C,2,CAAR,VISA,5,38,365,178.85,,,,,,,,
385,2/17/15,169.1,169,C,1,CAAR,SIAL,2,14,134,65.66,,,,,,,,
386,2/17/15,169.2,169,C,2,DIER,SIAL,1,38,287,189.42,,,,,,,,
387,2/17/15,169.3,169,C,3,SIAL,SIAL,2,115,2945,883.5,,,,,,,,
388,2/17/15,170.1,170,C,1,DIER,DIER,2,9,68,44.88,,,,,,,,
389,2/17/15,170.2,170,C,2,DIER,DIER,2,21,158,104.28,,,,,,,,
390,2/17/15,170.3,170,C,3,CAAR,DIER,3,13,125,61.25,,,,,,,,
391,2/17/15,170.4,170,C,4,DIER,DIER,1,85,641,423.06,,,,,,,,
392,2/17/15,171.1,171,C,1,DIER,CAAR,1,125,943,622.38,,,,,,,,
393,2/17/15,171.2,171,C,2,SIAL,BRMA,3,210,5378,1613.4,,,,,,,,
394,2/17/15,171.3,171,C,3,CAAR,CAAR,4,8,77,37.73,,,,,,,,
395,2/17/15,171.4,171,C,4,DIER,DIER,3,8,60,39.6,,,,,,,,
396,2/17/15,172.1,172,C,1,CAAR,DIER,3,20,192,94.08,,,,,,,,
397,2/17/15,172.2,172,C,2,DIER,DIER,2,66,498,328.68,,,,,,,,
398,2/17/15,173.1,173,C,1,DIER,DIER,1,3,23,15.18,,,,,,,,
399,2/17/15,173.2,173,C,2,DIER,DIER,1,75,566,373.56,,,,,,,,
400,2/17/15,173.3,173,C,3,DIER,BRMA,1,5,38,25.08,,,,,,,,
401,2/17/15,174.1,174,C,1,SIAL,MACA,8,248,6351,1905.3,,,,,,,,
402,2/17/15,174.2,174,C,2,DIER,MACA,6,121,913,602.58,,,,,,,,
403,2/17/15,174.3,174,C,3,SIAL,MACA,4,92,2356,706.8,,,,,,,,
404,2/17/15,174.4,174,C,4,CAAR,MACA,2,34,327,160.23,,,,,,,,
405,2/17/15,174.5,174,C,5,CAAR,MACA,3,12,115,56.35,,,,,,,,
406,2/17/15,174.6,174,C,6,SIAL,MACA,8,46,1178,353.4,,,,,,,,
407,2/17/15,176.1,176,C,1,DIER,MEPO,2,88,664,438.24,,,,,,,,
408,2/17/15,176.2,176,C,2,SIAL,BRMA,2,1150,29452,8835.6,,,,,,,,
409,2/17/15,176.3,176,C,3,CAAR,BRMA,3,17,163,79.87,,,,,,,,
410,2/17/15,176.4,176,C,4,SIAL,BRMA,4,114,2920,876,,,,,,,,
411,2/17/15,176.5,176,C,5,DIER,BRMA,3,106,800,528,,,,,,,,
412,2/17/15,177.1,177,C,1,SIAL,CABU,2,235,6018,1805.4,,,,,,,,
413,2/17/15,177.2,177,C,2,SIAL,CABU,2,265,6787,2036.1,,,,,,,,
414,2/17/15,177.3,177,C,3,DIER,CABU,7,42,317,209.22,,,,,,,,
415,2/17/15,177.4,177,C,4,CABU,BRMA,2,12,91,51.87,,,,,,,,
416,2/17/15,177.5,177,C,5,CABU,BRMA,1,10,76,43.32,,,,,,,,
417,2/17/15,177.6,177,C,6,CABU,BRMA,1,78,594,338.58,,,,,,,,
418,2/17/15,177.7,177,C,7,CABU,BRMA,4,18,137,78.09,,,,,,,,
419,2/24/15,401,251,C,1,DIER,PARO,5,15,113,74.58,,,,,,,,
420,2/24/15,402,278,C,1,DIER,PARO,14,7,53,34.98,,,,,,,,
421,2/24/15,403,136,C,1,DIER,PARO,6,8,60,39.6,,,,,,,,
422,2/24/15,404,NA,C,1,DIER,PARO,2,13,98,64.68,,,,,,,,
423,2/24/15,405,NA,C,1,DIER,SIAL,1,68,513,338.58,,,,,,,,
424,2/24/15,406,NA,C,1,DIER,SIAL,1,232,1750,1155,,,,,,,,
425,2/24/15,407,NA,C,1,DIER,VISA,4,23,174,114.84,,,,,,,,
426,2/24/15,408,NA,C,1,DIER,VISA,5,25,189,124.74,,,,,,,,
427,2/24/15,409,NA,C,1,DIER,CAAR,7,1,8,5.28,,,,,,,,
428,2/24/15,410,NA,C,1,CAAR,DIER,6,2,19,9.31,,,,,,,,
429,2/24/15,411,NA,C,1,CAAR,SIAL,4,10,96,47.04,,,,,,,,
430,2/24/15,412,NA,C,1,CAAR,SIAL,2,13,125,61.25,,,,,,,,
431,2/24/15,413,279,C,1,CAAR,DIER,2,35,336,164.64,,,,,,,,
432,2/24/15,414,NA,C,1,CAAR,SIAL,2,9,86,42.14,,,,,,,,
433,2/24/15,415,NA,C,1,CAAR,SIAL,2,58,557,272.93,,,,,,,,
434,2/24/15,24,24.1,C,1,CABU,SIAL,1,4,30,17.1,,,,,,,,
435,2/24/15,24,24.2,C,2,CABU,SIAL,1,8,61,34.77,,,,,,,,
436,2/24/15,24,24.3,C,3,CABU,SIAL,2,8,61,34.77,,,,,,,,
437,2/24/15,24,24.4,C,4,CABU,SIAL,2,16,122,69.54,,,,,,,,
438,2/24/15,24,24.5,C,5,CABU,SIAL,3,24,183,104.31,,,,,,,,
439,2/24/15,24,24.6,C,6,CABU,SIAL,2,8,61,34.77,,,,,,,,
440,2/24/15,24,24.7,C,7,CABU,MEPO,2,4,30,17.1,,,,,,,,
441,2/24/15,24,24.8,C,8,CABU,MEPO,2,4,30,17.1,,,,,,,,
442,2/24/15,24,24.9,C,9,CABU,MEPO,2,3,23,13.11,,,,,,,,
443,2/24/15,24,24.1,C,10,CABU,NA,0,28,213,121.41,,,,,,,,
444,2/24/15,24,24.1,C,11,CABU,MACA,1,8,61,34.77,,,,,,,,
445,2/24/15,24,24.1,C,12,CABU,MACA,2,5,38,21.66,,,,,,,,
446,2/24/15,24,24.1,C,13,CABU,MACA,2,5,38,21.66,,,,,,,,
447,2/24/15,24,24.1,C,14,CABU,SIAL,1,10,76,43.32,,,,,,,,
448,2/24/15,24,24.2,C,15,CABU,SIAL,2,3,23,13.11,,,,,,,,
449,2/24/15,24,24.2,C,16,CABU,MACA,2,12,91,51.87,,,,,,,,
450,2/24/15,24,24.2,C,17,CABU,NA,0,42,320,182.4,,,,,,,,
451,2/24/15,24,24.2,C,18,CABU,MACA,3,12,91,51.87,,,,,,,,
452,2/24/15,59,59.1,C,1,CABU,MEPO,2,3,23,13.11,,,,,,,,
453,2/24/15,59,59.2,C,2,CABU,MEPO,2,9,69,39.33,,,,,,,,
454,2/24/15,59,59.3,C,3,CABU,MACA,2,15,114,64.98,,,,,,,,
455,2/24/15,59,59.4,C,4,CABU,MACA,2,8,61,34.77,,,,,,,,
456,2/24/15,59,59.5,C,5,CABU,MEPO,1,38,289,164.73,,,,,,,,
457,2/24/15,59,59.6,C,6,CABU,DIER,1,10,76,43.32,,,,,,,,
458,2/24/15,59,59.7,C,7,CABU,DIER,1,12,91,51.87,,,,,,,,
459,2/24/15,59,59.8,C,8,CABU,CAAR,1,13,99,56.43,,,,,,,,
460,2/24/15,59,59.9,C,9,CABU,VISA,1,42,320,182.4,,,,,,,,
461,2/24/15,59,59.1,C,10,CABU,DIER,1,12,91,51.87,,,,,,,,
462,2/24/15,59,59.1,C,11,CABU,DIER,2,8,61,34.77,,,,,,,,
463,2/24/15,59,59.1,C,12,CABU,BRMA,2,8,61,34.77,,,,,,,,
464,2/24/15,59,59.1,C,13,CABU,NA,0,56,426,242.82,,,,,,,,
465,2/24/15,59,59.1,C,14,CABU,BRMA,2,9,69,39.33,,,,,,,,
466,2/24/15,84,84.1,C,1,CABU,DIER,1,18,137,78.09,,,,,,,,
467,2/24/15,84,84.2,C,2,CABU,BRMA,2,12,91,51.87,,,,,,,,
468,2/24/15,84,84.3,C,3,CABU,BRMA,3,11,84,47.88,,,,,,,,
469,2/24/15,84,84.4,C,4,CABU,MEPO,2,15,114,64.98,,,,,,,,
470,2/24/15,84,84.5,C,5,CABU,NA,0,95,723,412.11,,,,,,,,
471,2/24/15,84,84.6,C,6,CABU,MEPO,2,6,46,26.22,,,,,,,,
472,2/24/15,133,133.1,C,1,CABU,MEPO,1,14,107,60.99,,,,,,,,
473,2/24/15,133,133.2,C,2,CABU,VISA,2,4,30,17.1,,,,,,,,
474,2/24/15,133,133.3,C,3,CABU,VISA,1,17,129,73.53,,,,,,,,
475,2/24/15,133,133.4,C,4,CABU,VISA,1,5,38,21.66,,,,,,,,
476,2/24/15,150,150.1,C,1,CABU,DIER,1,24,183,104.31,,,,,,,,
477,2/24/15,150,150.2,C,2,CABU,DIER,1,3,23,13.11,,,,,,,,
478,2/24/15,150,150.3,C,3,CABU,DIER,2,8,61,34.77,,,,,,,,
479,2/24/15,150,150.4,C,4,CABU,DIER,1,9,69,39.33,,,,,,,,
480,2/24/15,150,150.5,C,5,CABU,CAAR,1,10,76,43.32,,,,,,,,
481,2/24/15,150,150.6,C,6,CABU,VISA,2,10,76,43.32,,,,,,,,
482,2/24/15,174,174.1,C,1,CABU,VISA,4,4,30,17.1,,,,,,,,
483,2/24/15,174,174.2,C,2,CABU,PARO,1,10,76,43.32,,,,,,,,
484,2/24/15,230,230.1,C,1,CABU,PARO,1,6,46,26.22,,,,,,,,
485,3/4/15,1,1.1,T,1,SIAL,CAAR,4,4,102,30.6,,,,,,,,
486,3/4/15,1,1.2,T,2,SIAL,PARO,6,8,205,61.5,,,,,,,,
487,3/4/15,1,1.3,T,3,SIAL,BRMA,2,2,51,15.3,,,,,,,,
488,3/4/15,1,1.4,T,4,SIAL,MEPO,1,10,256,76.8,,,,,,,,
489,3/4/15,1,1.5,T,5,SIAL,VISA,2,4,102,30.6,,,,,,,,
490,3/4/15,1,1.6,T,6,SIAL,MEPO,3,3,77,23.1,,,,,,,,
491,3/4/15,2,2.1,T,1,SIAL,BRMA,2,18,461,138.3,,,,,,,,
492,3/4/15,2,2.2,T,2,SIAL,BRMA,5,14,359,107.7,,,,,,,,
493,3/4/15,2,2.3,T,3,SIAL,MEPO,2,12,307,92.1,,,,,,,,
494,3/4/15,2,2.4,T,4,SIAL,BRMA,5,6,154,46.2,,,,,,,,
495,3/4/15,2,2.5,T,5,SIAL,BRMA,4,12,307,92.1,,,,,,,,
496,3/4/15,2,2.6,T,6,SIAL,BRMA,2,36,922,276.6,,,,,,,,
497,3/4/15,2,2.7,T,7,SIAL,BRMA,1,20,512,153.6,,,,,,,,
498,3/4/15,2,2.8,T,8,SIAL,BRMA,2,11,282,84.6,,,,,,,,
499,3/4/15,3,3.1,T,1,SIAL,MEPO,2,27,691,207.3,,,,,,,,
500,3/4/15,3,3.2,T,2,SIAL,MEPO,4,3,77,23.1,,,,,,,,
501,3/4/15,3,3.3,T,3,SIAL,VISA,2,7,179,53.7,,,,,,,,
502,3/4/15,3,3.4,T,4,SIAL,MEPO,2,8,205,61.5,,,,,,,,
503,3/4/15,3,3.5,T,5,SIAL,CAAR,1,14,359,107.7,,,,,,,,
504,3/4/15,3,3.6,T,6,SIAL,CAAR,1,38,973,291.9,,,,,,,,
505,3/4/15,3,3.7,T,7,SIAL,VISA,2,7,179,53.7,,,,,,,,
506,3/4/15,3,3.8,T,8,SIAL,VISA,3,5,128,38.4,,,,,,,,
507,3/4/15,4,4.1,T,1,SIAL,NA,0,70,1793,537.9,,,,,,,,
508,3/4/15,4,4.2,T,2,SIAL,SIAL,1,18,461,138.3,,,,,,,,
509,3/4/15,4,4.3,T,3,SIAL,VISA,4,2,51,15.3,,,,,,,,
510,3/4/15,5,5.1,T,1,SIAL,VISA,2,14,359,107.7,,,,,,,,
511,3/4/15,5,5.2,T,2,SIAL,VISA,3,9,230,69,,,,,,,,
512,3/4/15,5,5.3,T,3,SIAL,MEPO,2,10,256,76.8,,,,,,,,
513,3/4/15,5,5.4,T,4,SIAL,SIAL,1,36,922,276.6,,,,,,,,
514,3/4/15,5,5.5,T,5,SIAL,MEPO,3,6,154,46.2,,,,,,,,
515,3/4/15,5,5.6,T,6,SIAL,VISA,3,6,154,46.2,,,,,,,,
516,3/4/15,6,6.1,T,1,SIAL,CAAR,6,14,359,107.7,,,,,,,,
517,3/4/15,6,6.2,T,2,SIAL,CAAR,1,12,307,92.1,,,,,,,,
518,3/4/15,6,6.3,T,3,SIAL,CAAR,1,4,102,30.6,,,,,,,,
519,3/4/15,7,7.1,T,1,SIAL,MACA,4,3,77,23.1,,,,,,,,
520,3/4/15,7,7.2,T,2,SIAL,SIAL,2,40,1024,307.2,,,,,,,,
521,3/4/15,7,7.3,T,3,SIAL,SIAL,5,7,179,53.7,,,,,,,,
522,3/4/15,7,7.4,T,4,SIAL,SIAL,5,12,307,92.1,,,,,,,,
523,3/4/15,7,7.5,T,5,SIAL,DIER,1,10,256,76.8,,,,,,,,
524,3/4/15,7,7.6,T,6,DIER,SIAL,1,14,106,69.96,,,,,,,,
525,3/4/15,8,8.1,T,1,SIAL,NA,0,195,4994,1498.2,,,,,,,,
526,3/4/15,9,9.1,T,1,DIER,CABU,7,6,45,29.7,,,,,,,,
527,3/4/15,9,9.2,T,2,SIAL,CABU,10,3,77,23.1,,,,,,,,
528,3/4/15,9,9.3,T,3,SIAL,CABU,14,3,77,23.1,,,,,,,,
529,3/4/15,9,9.4,T,4,SIAL,CABU,3,4,102,30.6,,,,,,,,
530,3/4/15,9,9.5,T,5,SIAL,CABU,4,3,77,23.1,,,,,,,,
531,3/4/15,10,10.1,T,1,DIER,PARO,1,10,75,49.5,,,,,,,,
532,3/4/15,10,10.2,T,2,DIER,PARO,8,31,234,154.44,,,,,,,,
533,3/4/15,10,10.3,T,3,DIER,PARO,11,9,68,44.88,,,,,,,,
534,3/4/15,10,10.4,T,4,SIAL,PARO,7,18,461,138.3,,,,,,,,
535,3/4/15,10,10.5,T,5,SIAL,PARO,5,9,230,69,,,,,,,,
536,3/4/15,10,10.6,T,6,SIAL,PARO,16,5,128,38.4,,,,,,,,
537,3/4/15,10,10.7,T,7,SIAL,PARO,4,15,384,115.2,,,,,,,,
538,3/4/15,10,10.8,T,8,SIAL,PARO,2,23,589,176.7,,,,,,,,
539,3/4/15,10,10.9,T,9,SIAL,PARO,13,3,77,23.1,,,,,,,,
540,3/4/15,10,10.1,T,10,SIAL,PARO,10,10,256,76.8,,,,,,,,
541,3/4/15,10,10.11,T,11,SIAL,PARO,8,6,154,46.2,,,,,,,,
542,3/4/15,11,11.1,T,1,SIAL,CAAR,4,11,282,84.6,,,,,,,,
543,3/4/15,11,11.2,T,2,SIAL,CAAR,6,15,384,115.2,,,,,,,,
544,3/4/15,11,11.3,T,3,SIAL,MACA,2,4,102,30.6,,,,,,,,
545,3/4/15,11,11.4,T,4,SIAL,CAAR,4,4,102,30.6,,,,,,,,
546,3/4/15,11,11.5,T,5,SIAL,CAAR,3,5,128,38.4,,,,,,,,
547,3/4/15,12,12.1,T,1,SIAL,CABU,24,9,230,69,,,,,,,,
548,3/4/15,12,12.2,T,2,SIAL,CABU,16,16,410,123,,,,,,,,
549,3/4/15,12,12.3,T,3,DIER,CABU,26,9,68,44.88,,,,,,,,
550,3/4/15,12,12.4,T,4,SIAL,CABU,15,12,307,92.1,,,,,,,,
551,3/4/15,12,12.5,T,5,SIAL,CABU,22,5,128,38.4,,,,,,,,
552,3/4/15,13,13.1,T,1,SIAL,SIAL,6,7,179,53.7,,,,,,,,
553,3/4/15,13,13.2,T,2,SIAL,SIAL,6,7,179,53.7,,,,,,,,
554,3/4/15,13,13.3,T,3,SIAL,SIAL,6,14,359,107.7,,,,,,,,
555,3/4/15,13,13.4,T,4,SIAL,SIAL,7,9,230,69,,,,,,,,
556,3/4/15,13,13.5,T,5,SIAL,SIAL,3,9,230,69,,,,,,,,
557,3/4/15,14,14.1,T,1,DIER,DIER,1,7,53,34.98,,,,,,,,
558,3/4/15,14,14.2,T,2,SIAL,PARO,1,10,256,76.8,,,,,,,,
559,3/4/15,15,15.1,T,1,DIER,PARO,16,34,256,168.96,,,,,,,,
560,3/4/15,15,15.2,T,2,CAAR,PARO,19,2,19,9.31,,,,,,,,
561,3/4/15,15,15.3,T,3,SIAL,PARO,25,2,51,15.3,,,,,,,,
562,3/4/15,15,15.4,T,4,CAAR,PARO,6,2,19,9.31,,,,,,,,
563,3/4/15,15,15.5,T,5,CAAR,PARO,3,2,19,9.31,,,,,,,,
564,3/4/15,16,16.1,T,1,CAAR,BRMA,4,2,19,9.31,,,,,,,,
565,3/4/15,16,16.2,T,2,CAAR,BRMA,3,3,29,14.21,,,,,,,,
566,3/4/15,16,16.3,T,3,CAAR,BRMA,1,3,29,14.21,,,,,,,,
567,3/4/15,16,16.4,T,4,CAAR,BRMA,1,3,29,14.21,,,,,,,,
568,3/4/15,16,16.5,T,5,DIER,BRMA,4,7,53,34.98,,,,,,,,
569,3/4/15,16,16.6,T,6,CAAR,BRMA,3,1,10,4.9,,,,,,,,
570,3/4/15,16,16.7,T,7,CAAR,BRMA,2,2,19,9.31,,,,,,,,
571,3/4/15,16,16.8,T,8,DIER,DIER,1,4,30,19.8,,,,,,,,
572,3/4/15,16,16.9,T,9,DIER,DIER,1,2,15,9.9,,,,,,,,
573,3/4/15,20,20.1,T,1,DIER,CABU,32,45,339,223.74,,,,,,,,
574,3/4/15,20,20.2,T,2,DIER,CABU,35,14,106,69.96,,,,,,,,
575,3/4/15,20,20.3,T,3,DIER,CABU,12,13,98,64.68,,,,,,,,
576,3/4/15,20,20.4,T,4,DIER,CABU,14,19,143,94.38,,,,,,,,
577,3/4/15,23,23.1,T,1,CAAR,PARO,34,2,19,9.31,,,,,,,,
578,3/4/15,23,23.2,T,2,CAAR,PARO,24,2,19,9.31,,,,,,,,
579,3/4/15,23,23.3,T,3,CAAR,PARO,27,2,19,9.31,,,,,,,,
580,3/4/15,33,33.1,T,1,CAAR,PARO,18,3,29,14.21,,,,,,,,
581,3/4/15,33,33.2,T,2,CAAR,PARO,14,3,29,14.21,,,,,,,,
582,3/4/15,33,33.3,T,3,DIER,PARO,10,12,91,60.06,,,,,,,,
583,3/4/15,33,33.4,T,4,DIER,PARO,5,21,158,104.28,,,,,,,,
584,3/4/15,33,33.5,T,5,DIER,PARO,17,5,38,25.08,,,,,,,,
585,3/4/15,34,34.1,T,1,SIAL,BOOF,1,7,179,53.7,,,,,,,,
586,3/4/15,34,34.2,T,2,SIAL,BOOF,1,17,435,130.5,,,,,,,,
587,3/4/15,34,34.3,T,3,CAAR,BOOF,1,4,38,18.62,,,,,,,,
588,3/4/15,34,34.4,T,4,SIAL,BOOF,1,5,128,38.4,,,,,,,,
589,3/4/15,34,34.5,T,5,SIAL,BOOF,1,6,154,46.2,,,,,,,,
590,3/4/15,34,34.6,T,6,SIAL,BOOF,1,10,256,76.8,,,,,,,,
591,3/4/15,34,34.7,T,7,SIAL,BOOF,1,13,333,99.9,,,,,,,,
592,3/4/15,36,36.1,T,1,SIAL,MACA,6,7,179,53.7,,,,,,,,
593,3/4/15,36,36.2,T,2,SIAL,MACA,6,5,128,38.4,,,,,,,,
594,3/4/15,36,36.3,T,3,SIAL,MACA,4,3,77,23.1,,,,,,,,
595,3/4/15,36,36.4,T,4,CAAR,MACA,4,2,19,9.31,,,,,,,,
596,3/4/15,36,36.5,T,5,CAAR,MACA,8,3,29,14.21,,,,,,,,
597,3/4/15,36,36.6,T,6,CAAR,MACA,8,1,10,4.9,,,,,,,,
598,3/4/15,36,36.7,T,7,SIAL,MACA,4,14,359,107.7,,,,,,,,
599,3/4/15,36,36.8,T,8,SIAL,MACA,13,11,282,84.6,,,,,,,,
600,3/4/15,36,36.9,T,9,CAAR,MACA,9,2,19,9.31,,,,,,,,
601,3/4/15,36,36.1,T,10,CAAR,MACA,6,1,10,4.9,,,,,,,,
602,3/4/15,36,36.11,T,11,CAAR,MACA,6,1,10,4.9,,,,,,,,
603,3/4/15,36,36.12,T,12,SIAL,MACA,17,5,128,38.4,,,,,,,,
604,3/4/15,36,36.13,T,13,SIAL,MACA,2,11,282,84.6,,,,,,,,
605,3/4/15,36,36.14,T,14,SIAL,MACA,15,6,154,46.2,,,,,,,,
606,3/4/15,36,36.15,T,15,SIAL,MACA,5,3,77,23.1,,,,,,,,
607,3/4/15,36,36.16,T,16,CAAR,MACA,5,2,19,9.31,,,,,,,,
608,3/4/15,36,36.17,T,17,CAAR,MACA,6,1,10,4.9,,,,,,,,
609,3/4/15,40,40.1,T,1,DIER,MACA,3,15,113,74.58,,,,,,,,
610,3/4/15,40,40.2,T,2,DIER,MACA,18,5,38,25.08,,,,,,,,
