1-Wet & 25.56 & 6.554 & 2.682 & 2.233 & 1.857 & 1.715 & 0.9239 & 0.6258 & 0.05918 & 5.353e-18
1-Dry & 14.81 & 3.001 & 2.335 & 2.221 & 1.278 & 0.71 & 0.475 & 0.1039 & 0.02807 & 1.192e-17
2-Sun & 193.4 & 32.58 & 3.576 & 2.04 & 0.1918 & 0.06573 & 0.02544 & 3.896e-06 & NA & NA
2-Shade & 39.4 & 9.686 & 4.18 & 1.835 & 1.45 & 0.8753 & 0.4685 & 0.0002487 & NA & NA
3 & 19.81 & 2.642 & 1.774 & 1.178 & 1.084 & 0.5971 & 0.1022 & NA & NA & NA
4 & 24.81 & 16.47 & 5.924 & 2.06 & 1.653 & 0.6375 & 0.1506 & NA & NA & NA
5 & 1.1 & 0.615 & 0.4272 & 0.271 & 0.03756 & NA & NA & NA & NA & NA
6 & 3.885 & 1.663 & 0.3665 & 0.01924 & NA & NA & NA & NA & NA & NA
7 & 2.127 & 0.7947 & 0.3035 & NA & NA & NA & NA & NA & NA & NA
8 & 1.489 & 1.165 & 0.377 & NA & NA & NA & NA & NA & NA & NA
9 & 4.893 & 1.453 & 0.4545 & NA & NA & NA & NA & NA & NA & NA
10 & 2.051 & 0.2853 & 0.2148 & NA & NA & NA & NA & NA & NA & NA
11 & 4.57 & 0.8801 & 0.2893 & NA & NA & NA & NA & NA & NA & NA
12 & 9.367 & 0.7454 & 0.303 & NA & NA & NA & NA & NA & NA & NA
