1 1.97 0.78 1.28 1.31 0.97
0.86 1 0.51 0.51 0.92 0.29
1.65 1.85 1 1.41 1.71 0.96
0.88 1.87 1.05 1 1.41 0.76
1.23 1.92 0.59 1.74 1 1.41
1.45 1.52 1.19 1.38 1.22 1
